id_cliente,idade,salario,tipo_imovel,tempo_trabalhando,id_emprestimo,motivo_emprestimo,grupo,valor_emprestimo,juros,RISCO_INADIMPLENCIA,emp_sal,id_historico,INADIMPLENCIA,tempo_cliente
nYgkHrRc-Fnmo,31,49500,Mortgage,3,vOkRRNY5-k7Ia,Debtconsolidation,B,10000,10.75,0,0.2,bThQgLRk-Y154,N,6
gig213Hq-wvSA,36,81000,Mortgage,9,7zQQSWyY-fjIT,Homeimprovement,C,6000,12.99,0,0.07,tcSMkppc-Kw2W,N,17
WPrAe3hK-5LMC,24,24000,Mortgage,3,1oHZtN3C-MkM3,Education,C,8000,11.34,0,0.33,6cBbI2CM-zrgp,Y,4
BtbFZyU0-PFOJ,22,43000,Own,6,4gQ0XOth-ojye,Education,A,7750,7.66,0,0.18,CAzHnC5u-2KDq,N,2
C5hyN4uj-t8hk,25,72500,Mortgage,3,97OkmxOy-Z4ap,Venture,D,16000,15.28,1,0.22,0YXAYsXv-O7Nr,Y,4
smaRCDQt-nU8D,25,26729,Rent,5,iMgMsIr2-JWB7,Medical,B,7300,11.14,0,0.27,qessj3BP-aT1z,N,3
GnWdHGdC-kQGD,25,50000,Rent,9,gzToorcg-mF5d,Homeimprovement,C,6000,14.17,0,0.12,7uS6ADA6-5X9O,N,3
rEngbj4E-hNjx,42,32000,Mortgage,0,mXwGS7G9-irLO,Personal,B,10000,10.59,1,0.31,A6tufdWe-9XuT,N,12
iiBe2F5J-Yvmf,23,100000,Mortgage,0,4ub7h8ix-ixnn,Debtconsolidation,A,7000,8.59,0,0.07,qhJMjlhg-7MqW,N,4
8mvpD0nG-YBgs,26,86000,Rent,10,3lHCkLF2-prPi,Venture,A,18000,8.49,0,0.21,IcXGuEs8-c7Qy,N,2
GwHMqkSH-G6Ho,24,31000,Rent,8,3wurqfdb-B0JK,Venture,C,13500,13.43,1,0.44,XcurOO9H-38lW,Y,4
KHtjA5hY-nGr8,25,26453,Mortgage,6,LTfB3cOY-YUwf,Medical,B,7200,11.71,1,0.27,JztOhHRC-HKUd,N,4
LbpPjsNu-uHaK,21,55260,Rent,0,PTJMUFBc-lzmZ,Education,A,14000,6.54,0,0.25,2BjOlvRc-2Iur,N,2
rXotfNA0-KG5l,25,60000,Mortgage,5,ZLz8iOxN-SfZC,Homeimprovement,D,3000,14.59,0,0.05,5RDbDHlF-bS2a,Y,3
wLafSZJI-JN6W,25,42000,Mortgage,9,amf1hgNS-7OIU,Homeimprovement,B,12000,9.91,0,0.29,IZs5B93j-0CQU,N,2
IHhqqkbT-lUPN,26,50000,Mortgage,8,vx3Ahud5-qdrZ,Venture,B,8000,10.59,0,0.16,0Tw2wQjC-TtnF,N,2
EgkQ99U5-Awrk,22,29000,Mortgage,6,ZfO602Nz-0eSt,Personal,A,12000,5.42,1,0.41,q141Bgsb-eCxg,N,4
ilEArt6g-5Xgw,22,85000,Mortgage,0,Ebky42Gm-dgtu,Education,C,20000,13.49,0,0.24,w10eSlMK-385j,Y,2
wNEkY2EF-Bxtc,26,78000,Rent,1,DqWn4QtB-2j7Y,Debtconsolidation,B,15000,12.42,1,0.19,4tiE1pOu-6wWt,N,3
iXYPsGUl-Q1v4,29,350000,Mortgage,13,9lw2pZFZ-1Lg4,Debtconsolidation,A,12000,7.51,0,0.03,POXtlk75-kF9T,N,7
kK5zchpv-Fa7k,25,78000,Mortgage,9,A8NFl4yU-O81X,Education,A,8000,7.9,0,0.1,MfOdytOa-CBiF,N,4
IvqUSJIp-YGrc,42,36000,Rent,0,eS7H7Fun-Lrq2,Medical,C,11000,11.97,1,0.31,SfrojCdb-ZIHH,Y,16
7gTbQqBm-fwxK,29,38000,Mortgage,3,9iN5BTaA-Pn0Y,Education,D,6000,15.21,0,0.16,EGdkOOMe-O6wZ,Y,9
6AxhNce0-WuXE,36,78000,Mortgage,7,QzsMb7hh-MnRz,Personal,A,15000,7.88,0,0.19,7RwdESX0-mHZT,N,16
9un9yaN8-esHq,25,40000,Mortgage,0,eiyB36y7-6tEp,Medical,A,3600,7.49,0,0.09,wkqxLRU6-Rsp6,N,3
kKWMmIKr-5xv8,34,85000,Rent,7,FHULNCWb-vE2Q,Venture,B,5000,11.83,0,0.06,eqWkLdd7-uLZR,N,5
fu0ShTBD-yADl,49,42000,Mortgage,12,3njLAxAG-l38M,Medical,A,3000,8.9,0,0.07,gaoI745L-MP0P,N,15
5evSNyFm-DAND,33,54000,Rent,13,n83jEUc2-Ld6J,Venture,A,10000,8.9,0,0.19,RepaSWwk-JmuP,N,5
RZElXwos-URJ9,26,20004,Rent,2,a42Q9YUI-ZnQ2,Debtconsolidation,B,4000,12.18,0,0.2,sDbbHICi-KDo3,N,4
YGUJTWfC-liGu,25,62000,Rent,0,Cgp3pU1w-jf0T,Debtconsolidation,A,7400,6.99,0,0.12,dSxkgkCJ-XNho,N,2
52XQS0J2-rrb4,29,76000,Mortgage,13,1PcpHmFZ-akxt,Homeimprovement,F,20000,16.08,1,0.26,Sz4DDL3G-NUCJ,Y,6
dGkh3BYJ-C9OW,23,75000,Mortgage,7,YpRAzD1g-HCoo,Venture,B,17000,11.12,0,0.23,IoCbfhRt-CIxd,N,2
TTDz45Dk-lU2Q,41,70800,Mortgage,25,ihBkSn52-804G,Personal,A,12000,6.62,0,0.17,uFiyxMww-BDA2,N,11
MZrXb5MH-waha,29,44000,Rent,8,ZRckuJmd-Uee8,Venture,A,11000,7.29,0,0.25,jW6XHNor-MSIr,N,6
JehtXPLY-Mkih,28,178000,Rent,5,AUPSrdXy-4Wx4,Education,D,25000,14.46,1,0.14,lSrq05wP-Cj0N,Y,7
2HNtsvGY-MpK2,23,132000,Mortgage,5,RDvsu0Or-2SQj,Personal,A,15000,6.99,0,0.11,D7qKCj8p-cQJp,N,2
prk7ab1G-PTD9,28,24000,Rent,0,GMpux4Ai-G71G,Education,B,5000,11.86,0,0.21,j5Fp3WcY-t0In,N,8
HRC9ow4W-KPeT,32,34200,Rent,0,phM1ZSyr-nTDC,Venture,C,4000,13.48,0,0.12,ElKsAsZk-GIww,Y,9
txSoR8py-0GKW,25,67500,Rent,2,x5HPoqIJ-rN4y,Education,A,7200,7.88,0,0.11,n5dLcnwm-3FHd,N,4
EWtD8ZGk-diGC,43,97500,Rent,6,6X6FTdRJ-RURk,Venture,B,24000,10.99,0,0.25,3MXPnvIB-6HR5,N,11
ctZd50BA-W2Sk,23,48996,Mortgage,7,I0jz1jot-F6Mh,Education,C,10525,13.61,0,0.21,0dXjAt4G-rWWk,N,2
GPAmgGR0-6qIx,26,75000,Mortgage,10,2OfPjfYB-vHnw,Education,A,9600,5.42,0,0.13,s6vo1eSq-Rdq7,N,3
3zg15zaF-Zla5,24,76000,Mortgage,8,B3cv3XS9-islo,Debtconsolidation,A,6000,8.9,0,0.08,59vMjPkA-ezW1,N,3
sH6FXjCw-qOjj,23,75000,Own,5,CmLYDPav-4Be5,Venture,A,7600,8.59,0,0.1,4DgePFC4-PhL1,N,4
rFlYfL7J-ev8O,22,100000,Mortgage,3,QL1byAIi-Upt8,Education,B,12000,11.11,0,0.12,1FGjYKY5-L0lJ,N,4
7sxCFf5b-xoQ1,43,180000,Mortgage,5,O4kzWgwX-yBF9,Homeimprovement,C,6000,14.27,0,0.03,7oKFLIKX-6r05,N,17
3HGY0CAT-pcYk,23,95000,Mortgage,7,YBpQxlS8-H2aW,Personal,A,6000,7.68,0,0.06,5zuqtuJB-mfwy,N,3
tuIMQmtl-Fx73,25,41508,Mortgage,9,HlwDcvIE-bBR0,,C,10750,10.75,0,0.28,IEYe5w2I-oAc6,,8
AEjgcq7T-zCHX,26,60000,Mortgage,10,HRm0S88M-dsPG,Medical,A,5000,6.92,0,0.08,FrYamD7K-8xWA,N,4
bKprz1oz-vXFk,25,50000,Mortgage,10,FMWp2rXN-KncT,Education,C,10000,13.49,0,0.2,e96ISbk7-vPr4,Y,4
Sa4fiujv-biXx,23,69743,Mortgage,7,9tFJfW1k-iSea,Personal,D,1000,14.11,0,0.01,4Eo1bLnE-lHY8,N,3
dbn3Q9z4-bCry,25,80000,Mortgage,9,yMmkIlkI-R3nb,Debtconsolidation,A,4000,6.62,0,0.05,4hH7heyK-asFG,N,2
AdU47J8n-xFfC,24,72000,Rent,8,1n9qK6ep-ZStH,Personal,C,3200,13.92,0,0.04,ernO2ZQ0-uDQ2,N,3
HLUAFBUg-eu6o,26,24000,Mortgage,5,GNkgRzZW-Q6q1,Personal,C,2100,13.11,0,0.09,GjkOqAj0-xQTi,N,3
47A0dEDK-Y4Jn,24,50000,Rent,2,ZZa3qkeO-1SRC,Venture,C,4800,13.22,0,0.1,vWUxCvDA-8Bjn,N,4
ahDwxDK6-YUZz,24,80000,Rent,5,r3fnpmux-zuWv,Venture,B,12000,9.91,0,0.15,bkoxlwot-8GRf,N,2
21rzMz3D-H0tN,30,28000,Own,5,hEfrQvxO-8qld,Homeimprovement,B,6300,11.99,0,0.23,p7sZ0kJH-Af88,N,8
YggfaJGK-QlMz,26,75000,Mortgage,6,jsg1zX92-mQrh,Medical,A,6375,5.99,0,0.09,wxtI5ivH-Fg0Z,N,3
TxdPG6q4-F01f,22,55000,Own,2,UsKOeCL8-DPko,Education,A,2200,5.42,0,0.04,U8iZ7pBY-Rfb4,N,3
ZMQnsFsA-Gw3p,31,30016,Own,3,MMaHvIKP-p1zZ,Homeimprovement,A,11000,8.94,0,0.37,WQZSeqq5-kzLj,N,10
qdJB7rDB-Oemk,25,53000,Mortgage,4,fjzOYrXd-7C4C,Education,A,6000,6.62,0,0.11,RF5T6eYg-hQSM,N,2
gHgv7MwF-0Ee4,22,72000,Mortgage,1,w8kjwoJr-psoO,Personal,C,8500,15.96,1,0.12,rAaOK5U6-OiaX,N,2
kOdpYeO4-5YFQ,33,90000,Mortgage,4,uvSR3gHx-THRT,Education,C,12000,12.98,0,0.13,g5fKHFoD-Yg3R,N,5
iS3OIz48-g9NR,37,58000,Rent,9,fAioTcmx-zUkh,Medical,B,18200,10.99,1,0.31,3MDN2r7p-AK1l,N,11
2ux9rPpz-dsA5,32,38000,Rent,0,b4yOZTea-WdfY,Education,B,7200,10.08,0,0.19,rLmswoEg-raax,N,7
gzEwCHUd-tG3E,29,96000,Mortgage,4,170YGBkB-IyQ6,Venture,A,4500,6.76,0,0.05,U7RjyMWg-ZKBY,N,10
agjrHphy-fJZf,22,28000,Rent,5,cAd2ykx9-JfnX,Personal,B,6900,9.99,0,0.25,HfqmunSQ-xRCO,N,3
192NuYRG-g4Fr,25,95111,Mortgage,9,DRUP7hPa-NgLf,Personal,C,18000,14.72,0,0.19,cefNgma9-8XYm,N,4
e13FtGai-fB6Q,23,67450,Rent,8,SWn8bONn-G2Ph,Education,A,4000,6.76,0,0.06,uQnTYdkk-CTZy,N,3
dEhMnSnL-Yj8v,27,98004,Rent,8,5mMZR9PH-XtC0,Homeimprovement,A,10000,6.54,0,0.1,bQnfsmEZ-RkYe,N,10
93ztYFvR-FszP,29,34000,Mortgage,0,KamOPUXg-RBwC,Venture,C,3000,13.61,0,0.09,ODCA8hxa-fXoN,N,9
pstu4udY-FpB8,42,125000,Mortgage,5,5OXsXiIY-Gb4C,Medical,A,35000,7.9,0,0.28,cwy3Tq5f-j7Qh,N,12
ny2A0SeA-cIcA,23,26000,Rent,1,HDM8L5k9-Io6e,Personal,D,1600,16.29,1,0.06,C7NzR4xD-LnZL,Y,3
6HOJGAYw-U6iK,23,39996,Rent,2,5THzqvdW-cuW4,Education,B,18000,9.25,1,0.45,yFgGXE4l-9Yzm,N,4
iTPq6gN7-IHhl,33,96000,Mortgage,11,fukEF1sn-TApl,Debtconsolidation,D,15000,14.62,1,0.16,cfHScbAE-zwDR,Y,10
GPkYmQ8k-cPec,29,92000,Mortgage,2,gejsiIwl-bNOJ,Education,E,25000,19.42,0,0.27,6Ix5M8By-rlSJ,N,8
kfKqla8u-bZLv,25,30000,Rent,4,8uGNCNGR-xFpC,Education,B,5000,11.86,0,0.17,OAFuKJy2-uj1k,N,2
BOyMebWA-4KTN,29,32000,Rent,2,nNYYHxJP-FfzC,Education,C,7000,14.65,1,0.22,MAE4rsH2-oH7J,Y,10
S3Tfjf03-rET4,30,110000,Mortgage,8,2Cp3ZADa-wkv3,Medical,A,4800,5.99,0,0.04,3L8w3a97-YRo9,N,5
SQboEKjI-eioJ,23,28800,Rent,0,7HaT8DYP-mGdO,Medical,A,1500,7.74,0,0.05,QEW0yX4E-Mk0O,N,3
urJw2uZW-2KZi,28,24000,Rent,2,3f26SMK4-21FC,Homeimprovement,C,3500,14.72,1,0.15,2ZNU4nge-QgzQ,Y,6
zCd6pCkH-dCMK,25,32000,Rent,1,EUruPCtR-L04Q,Medical,D,6000,12.92,1,0.19,zMNODlSJ-fZDi,N,2
4KWzJLA7-SiDH,23,45600,Rent,4,LFxaJPFB-9Qk0,Personal,C,5000,14.22,0,0.11,iLsOAeR2-iSs2,Y,4
7mt8YsQG-klgr,33,108000,Mortgage,17,AdLvYmdc-DAo1,Homeimprovement,B,11500,9.99,0,0.11,ylOcOYzu-NdT2,N,7
gCc5KLfU-aXCQ,22,21000,Rent,0,YDBlTdSR-Fsqj,Education,C,2000,14.22,0,0.1,rmCjOKCu-TUAx,Y,3
kAlghWWu-pE0u,22,76800,Mortgage,4,98dEbdya-hfk0,Personal,A,12000,8.9,0,0.16,9YQTgEOh-wqJa,N,2
rom2rlRN-PIZ7,24,39996,Rent,0,nKCPP7TZ-N0Dd,Education,D,5000,14.11,1,0.13,UyQKutzz-m3FX,N,2
W1Ukd6vk-ofnc,28,98000,Rent,6,16OjsCXw-PMic,Education,A,4000,7.51,1,0.04,aIHraCfT-QDLE,N,7
LtNmTIou-nN5w,36,56650,Mortgage,16,dXyJGXqp-4Y0L,Venture,C,12000,13.72,0,0.21,Me58I5Ru-D0Jd,N,11
qIZbEEw1-DlNo,22,34800,Mortgage,3,X5SWmSph-w42c,Debtconsolidation,C,1500,13.49,0,0.04,OKbrKgEG-CCm3,Y,3
i0FqAfYk-TXm4,46,91000,Rent,0,GvWSOqgM-kF4s,Homeimprovement,E,22000,18.79,1,0.24,Wz7ZnAbX-qPr4,N,16
3g6xCq1q-94uE,38,110000,Rent,5,2t1dEdAU-OCdM,Homeimprovement,A,20000,6.91,0,0.18,eW4HnLJM-FQfn,N,13
LhOrnS29-8EaA,29,42000,Mortgage,8,urhHEltC-NLiD,Personal,C,7800,13.11,0,0.19,kAQpkHl6-6NOe,N,9
KY6sbzeT-fItT,22,51000,Rent,2,eGaJrCEq-g6UD,Education,B,3200,10.99,0,0.06,dLgDMIzs-sUm1,N,2
mk1Lst4i-9fhu,23,45000,Rent,7,noBhFn6U-bjDv,Education,B,6000,11.49,0,0.13,bmPeGbj3-kYf9,N,3
1cOPf1qD-wFaf,36,45344,Mortgage,11,Q9gpRLzs-elg5,Education,A,16750,7.88,0,0.37,w3Wj01jg-smjd,N,13
KnP5q8Us-2OKl,25,60000,Own,1,bdjlGOTU-HnIE,Debtconsolidation,D,10000,16.49,0,0.17,BUDLoxxw-BTDR,N,3
NgPqkzqj-8aHD,25,54000,Rent,1,HAax9rMT-TTAW,Venture,A,3000,9.32,0,0.06,WZC2TYlO-tYsv,N,3
mvc9SQo3-NApm,27,50000,Own,3,M3DIRCfc-gGqX,Medical,C,9000,12.53,0,0.18,4IOnlRoJ-MAaZ,N,8
lblSBkpZ-Ov3r,24,73000,Mortgage,9,Wz97rF2p-uw6S,Education,E,25000,16.32,1,0.34,k5auApKf-cIdE,N,2
v6vMXkcP-1tlE,22,18000,,2,KivI4ywQ-qOse,Medical,,6400,9.99,0,0.19,ELu6vw0b-QFIq,N,2
KjHbA1av-SRrl,24,120000,Mortgage,1,Y3u9jwIw-dwRJ,Education,D,25000,13.99,0,0.21,2CzZZx8R-c60B,N,4
ROeFXq2r-enKX,25,28128,Rent,2,bh4MuLBz-npmd,Education,D,7500,15.33,1,0.27,DBiXOc7i-y1sj,Y,3
KwXEeB1B-gyAG,25,46800,Rent,0,w1wDviEt-zoKA,Debtconsolidation,A,7000,8.63,0,0.15,4TfeR3Tn-frt7,N,3
InqQq8gS-rO1w,25,93600,Mortgage,9,nDylWx0g-Z1Jk,Debtconsolidation,B,20000,10.62,0,0.21,nQL77ej4-IODG,N,3
Nh9rbAh7-AEaW,24,62400,Mortgage,8,GAkNHRf4-fCAU,Homeimprovement,A,4000,8.9,0,0.06,j6OCLm2t-m56m,N,4
KsUvDgYH-usvp,24,100000,Mortgage,8,vLxvDvvF-6dSp,Debtconsolidation,C,3600,13.23,0,0.04,rnb6xtLf-spo6,Y,2
sCTEleyU-OF6R,23,47800,,4,Tq89TGeA-J2Gn,Medical,B,1600,12.69,0,0.1,jruvd0qx-lN77,,2
Emrjvfln-4Xz8,22,53000,Rent,5,2wa74BRB-udgG,Education,C,25000,13.43,1,0.47,0NdUeeag-8uUM,Y,4
HtfISr2R-sng0,24,29000,Rent,1,ahLFDuTO-Oqnd,Medical,B,4000,9.96,1,0.14,FIvuGK5h-RF7d,N,3
bW2wLUfZ-Ktwd,25,72000,Mortgage,1,IU64Q8qP-li6y,Homeimprovement,A,2100,7.66,0,0.03,nQIkkbe1-hmES,N,3
RZ4usxvh-oM7O,37,50000,Rent,5,avBil4Bv-l1No,Homeimprovement,B,8000,10.99,0,0.16,4lNCFfBQ-AAHK,N,16
r7ASDtKJ-6XHL,25,50000,Mortgage,5,DkKIteJx-PCWB,Personal,D,7500,13.8,0,0.15,fBDjdd6p-IlEH,Y,4
nhkdEXlo-Ufap,23,32000,Rent,3,3pyU9Ymg-jJan,Debtconsolidation,D,20000,12.61,1,0.63,rpqPNfN1-SNIo,N,4
naNZzQXw-ZBdW,29,57312,Rent,3,mnd9S7Tc-rXpd,Debtconsolidation,B,5000,11.86,0,0.09,2H2tnFS9-C6LG,N,6
cRhl4hEM-m6oC,26,65000,Rent,0,CsC7w4h1-LUvo,Homeimprovement,C,4800,13.72,0,0.07,wq00aNQm-SjHj,N,2
9I7xGAxk-tJtx,26,78000,Rent,4,Hy2ljs1i-YcfN,Debtconsolidation,A,12000,7.14,0,0.15,ianWPoyv-3BYO,N,2
BEU3PY4h-59JY,28,78000,Own,12,pk31Dmzj-g6ng,Medical,A,5250,5.79,0,0.07,NSvCMFP9-QkRo,N,10
8I4smsri-Qrm2,25,130000,Mortgage,5,FLazepNy-H4g1,Homeimprovement,A,3000,5.42,0,0.02,qqyUMsFC-oi5W,N,2
BzENoYQ1-TNcm,23,84996,Mortgage,5,3AQT82fN-slyp,Medical,B,5000,10.95,0,0.06,FwjvtPEp-GAJT,N,3
4fIW9oBC-seUK,24,90000,Mortgage,7,GUE6pW1M-oquC,Medical,A,15000,8.49,0,0.17,Syhi06Hl-Wivx,N,3
StwDCZ1r-MwPv,38,60000,Rent,0,GGrsObLq-JpSW,Homeimprovement,C,6000,13.57,0,0.1,PDLFPmca-q8At,Y,15
huiGOsbN-m4aj,23,68700,Rent,2,70fNIi9A-UBSF,Venture,C,7000,12.53,0,0.1,iEJGJELW-2Qrr,N,4
9ZOAqAoI-L0sg,35,63600,Rent,3,NHXayD3S-hc9p,Education,B,12000,11.49,0,0.19,yW3q6Eva-txv5,N,8
NvSSqfRK-KBNw,23,50000,Rent,0,wCJSKXkH-dNff,Venture,,5000,12.98,1,0.14,eR6vMeph-tUPf,,3
X19AwrMk-CMkX,34,48000,Mortgage,10,Lm4vWLvb-o6Mn,Debtconsolidation,A,9000,7.14,0,0.19,JSQPXlYt-9PSB,N,6
KjsADDPl-RTgN,28,44000,Rent,9,z6qCuJaX-h9sZ,Venture,C,1000,14.17,1,0.02,XPCNqZAx-fifc,N,9
w7Y1NzEI-4OcZ,24,51600,Rent,1,RZ0zO20n-FTcB,Homeimprovement,C,3000,12.68,0,0.06,apP10gwP-xwL8,Y,4
TrqzrrH6-dI4Y,24,38000,Mortgage,8,mJr59zFz-Qb05,Personal,B,5000,10,0,0.13,7uOo9ino-2ofQ,N,3
DnxN69NW-zq9C,22,60000,Mortgage,6,woL2Ppyc-g3Sk,Personal,C,12000,13.99,0,0.2,zmHyI9H4-fzqE,Y,3
9PcW8mrJ-qG47,21,78000,Rent,2,ad89RbEZ-Fnfc,Debtconsolidation,D,10000,15.57,1,0.13,2zj2Pip9-JB6i,Y,4
QANvMRc7-xvNS,29,87000,Rent,1,d8DgKs5I-CkSu,Homeimprovement,B,15000,10.59,0,0.17,dSjw1n7j-WCyZ,N,6
yR8jTlwO-iO5o,35,123000,Rent,2,XOCEfFBJ-sAkU,Homeimprovement,E,25000,17.19,1,0.2,XLRd6uOB-7fhD,N,6
wyxptNAN-AjF2,28,39000,Rent,0,KAKqG7my-xk1H,Personal,A,6000,8.63,0,0.15,JB0dSijH-Rr2h,N,7
BQlAqzWT-5ynN,33,56100,Own,13,7nPuUGbv-AFCB,Homeimprovement,A,16000,6.03,0,0.29,xWZBCSa9-oLJJ,N,8
PffkLet1-U4Cc,22,54996,Mortgage,3,6eFaXMed-TY8z,Education,B,5000,10.75,0,0.09,SWKTZyU6-Sr6Y,N,3
jjMFyZIv-sBi1,28,159000,Rent,5,ADYcv0Pd-WRBR,Personal,D,6000,15.95,1,0.04,yQfShmqh-iNS7,N,10
ZrFnZbA6-qXN0,24,92000,Mortgage,8,Z8zpBq8Q-sveJ,Venture,B,11000,10.99,0,0.12,CvXrqgYf-mUvd,N,3
HlNriOPt-D7S0,24,40000,Rent,6,aDxEsG6m-PPIT,Medical,C,12000,13.49,0,0.3,YT7rYTn1-IHC1,N,2
B2CaFJ9L-fWHa,23,65000,Mortgage,7,HmnbdFmD-btRX,Education,A,4000,7.75,0,0.06,nekab809-Nw82,N,2
6WbmjIvf-CrTb,21,65000,Mortgage,2,vaoljqCX-9Tzt,Venture,B,8400,11.86,0,0.13,AYDIoKJQ-AFIg,N,4
A4ji00ap-azNU,27,42504,Rent,2,R04hiETa-BjIY,Personal,B,7200,10.59,0,0.17,Uedf2XDv-nOLq,N,9
oaW4tJ6t-SzrS,29,79894,Mortgage,7,jxDjagps-WNRI,Venture,D,20000,14.96,0,0.25,heiYQg7o-bG2H,Y,10
9GHd6sJA-qcq1,22,27800,Rent,3,3mYhrru6-F3Ed,Medical,A,6800,8.49,0,0.24,FxivNFkx-b3sn,N,3
7RBzhM09-Jmsu,27,66240,Rent,7,e6qMlnT8-6k31,Medical,A,5000,5.79,0,0.08,3BWNwYSw-PkC4,N,9
uIkreedN-24iq,36,74000,Rent,10,N9w6Qiu8-hO9n,Education,D,3600,15.62,1,0.05,WThgoPcX-xzl6,Y,12
q11Oy3be-Jrwn,27,30000,Rent,3,emUEjqn5-KW4F,Personal,A,13000,7.88,1,0.43,XM4dIM6r-jmZN,N,10
pFqovhD2-Su0x,24,14400,Own,5,8OvEXgb8-jDIC,Personal,A,6000,7.49,1,0.42,qUq4tlk4-khIF,N,3
SIIvZ9tL-xB22,22,36996,Rent,3,tszePmzY-kWy1,Venture,B,5000,9.99,0,0.14,YTJTiZt5-XbzW,N,3
ABWuUKh0-D0dD,22,70000,Rent,0,HzQS6Y46-36e4,Education,B,6000,11.89,0,0.09,DpUiCe4S-JTRH,N,2
h4Nl4mLF-QIBZ,22,19200,Rent,3,lPTf0xwA-3mT4,Medical,C,2850,15.27,0,0.15,514ulYRP-0i7L,Y,4
Rr7pShFW-2ZPF,23,48000,Rent,1,fBE5lwgt-n1iN,Debtconsolidation,A,10000,7.29,0,0.21,Ax8C9xdF-vheE,N,2
yMOp88s3-m79d,22,22000,Mortgage,6,eOOhHW8S-SCoS,Education,B,7000,11.71,0,0.32,UHwmdihf-l9jr,N,2
K7OJ2WlK-JNAf,28,20000,Rent,4,voll6GcU-oPtU,Medical,B,8000,12.42,1,0.4,PcPnvSKe-jYTy,N,8
1837OdXI-Hpim,24,36000,Rent,0,ZziTELmw-G5G9,Education,C,3000,13.92,0,0.08,kgpT4FF6-lecH,Y,3
Me3GxknB-9INi,27,38000,Rent,12,JcL6N9SR-HE27,Venture,A,7000,7.66,0,0.18,ngvheY7m-JBPr,N,6
6HwXiGfC-brLQ,37,65379,Mortgage,5,ZntbPHGM-jee5,Personal,B,10000,10.39,0,0.15,UtsFzuzY-rOHP,N,13
EToqO29t-oDLs,45,60000,Rent,4,chTF8S8o-U89t,Education,B,25000,9.99,1,0.42,wQLFjqjt-ixjY,N,14
uCHGE3GA-ejLQ,34,120000,Rent,7,q3D7fFCL-KuNK,Venture,C,20000,13.8,0,0.17,K9RMrzGq-oBsu,N,7
wSXzkhki-uq90,28,52828,Mortgage,6,lWWp3kDw-17da,Medical,A,14500,7.29,0,0.27,7aM3iY9i-uMPs,N,7
vnyBizjo-t9A0,24,36000,Rent,5,IeIOb5pv-cBJ5,Venture,D,6000,14.96,0,0.17,qT1G6JXF-UZOs,N,3
OQcClaPQ-AMNX,22,71000,Rent,5,aPjZLG1p-NkgT,Medical,C,3000,14.65,0,0.04,Jmnlywwq-XBt6,N,4
Iog6B9h3-X2BQ,27,24000,Rent,0,yUrvHdIj-UFAn,Medical,A,10000,7.68,1,0.42,GmaHXZsn-l39e,N,9
djmc02UF-IeRW,25,80004,Rent,5,SI1BsLNR-qkxY,Homeimprovement,B,10000,9.62,0,0.12,foco6mqS-3Xsg,N,4
UdDk4HM2-mq0G,26,45760,Rent,8,1fgwSArY-a7eC,Debtconsolidation,C,11500,11.78,0,0.25,hNMU7GtO-2W2W,N,4
0g7M0qhC-I6EQ,26,75000,Rent,2,QObwPbTq-0c5q,Personal,C,16000,13.35,0,0.21,btKWsiaB-UD8w,Y,2
kibcahbs-BrNu,37,58000,Rent,9,ZLpvAUsK-Pzj7,Venture,B,18200,10.99,1,0.31,fe46jl1l-F7JQ,N,17
vmBCPbcZ-uaZr,24,76000,Rent,6,G8TXM1bL-3vnJ,Homeimprovement,B,16000,10.99,0,0.21,s0esSbFh-SPDi,N,3
Rd2jkKFi-9KkL,22,34500,Rent,3,XKDd3AXY-CZbM,Education,D,12000,14.84,1,0.35,Nelu200T-cGeu,Y,2
lBTZFo3o-9njt,33,51000,Mortgage,2,O83bQGqZ-kukZ,Education,A,1200,9.63,1,0.02,cpDz14cs-DiP6,N,7
1IeZPsfr-JF34,27,50000,Rent,0,KgcdYfLv-zwhF,Education,A,8000,7.9,0,0.16,7qX8je16-pQZ7,N,8
u5Wd4ajf-NvLE,26,46999,Rent,2,NQ6TsGmT-20m4,Venture,B,10000,10.99,0,0.21,Ils4kQfl-2Lhs,N,3
vgZzF6La-rX1G,24,30000,Rent,0,eXJRFkrF-Io2Y,Personal,A,3600,7.49,0,0.12,tNUlUHkr-xFS8,N,4
S0IfJ2wT-8j1d,22,32000,Rent,0,YP9dQK5b-UuBQ,Personal,D,7875,14.91,1,0.25,800EO5JC-TabY,N,2
GcOrj15b-oPeW,22,37212,Rent,6,jRgt3wg1-ip7M,Debtconsolidation,E,20000,16.69,1,0.54,NjCa8gvo-slBx,N,3
7FDxHl3p-pMQS,23,70000,Mortgage,4,qkxN73B9-yZ4M,Personal,B,25000,10.59,0,0.36,lUXHTqix-PWM3,N,3
BeQcW5w9-twfD,39,80000,Own,0,GHgbMwCc-8vpT,Medical,C,5000,11.22,0,0.06,FchglyL2-s8Hb,N,13
nIQMK0b8-2L84,23,78000,Mortgage,5,CtlhetRJ-dHSd,Education,B,5000,11.71,0,0.06,MHE55O0u-FBLa,N,2
qfTaJE2y-M9n9,34,98000,Own,19,Sy4TN5lq-2Uak,Education,B,16000,10.99,0,0.16,7H9X9bu6-xp7a,N,5
IIWiC1GF-PY7B,33,68500,Rent,6,e9WUqcqM-yGhQ,Homeimprovement,B,8000,10.62,0,0.12,3th78XFA-X1DE,N,6
