loan_id,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,person_id,loan_id,cb_id
CIlsNTnb-9KUf,Education,B,9000,11.49,0,0.03,LIW1WexG-y9zj,CIlsNTnb-9KUf,Iv9RPCql-huhM
C1y4JdKg-s2hN,Homeimprovement,B,16000,NULL,0,0.29,CxQU2eD0-7AsR,C1y4JdKg-s2hN,R0rgAu92-w7BJ
RHwDuROW-lMxt,Venture,D,2200,NULL,0,0.15,UdCM2S92-TKs8,RHwDuROW-lMxt,UzXeaDEG-PjMz
oO5ASQf0-QQ5K,Debtconsolidation,A,10000,NULL,0,0.07,SZGimgLB-HCm7,oO5ASQf0-QQ5K,5Qd1RaEe-66Rg
cKqj7onL-5oS8,Debtconsolidation,B,11000,11.99,0,0.12,jNNL0XxD-kvlU,cKqj7onL-5oS8,DBZcGBke-4TQe
qif76tSQ-9u5R,Homeimprovement,E,24000,18.39,0,0.22,MhANPSqT-iUfi,qif76tSQ-9u5R,eJAHLNlT-mXMr
ai2wvzvp-BMJ9,Education,A,4800,8,0,0.06,TSQ91ie4-8KzX,ai2wvzvp-BMJ9,WQERfBX1-JSNd
b0StdsTh-UzKf,Debtconsolidation,D,6000,16.32,1,0.2,aPAPGyry-S9c8,b0StdsTh-UzKf,wCbl9e7g-hEhR
N9nlehsb-8Iau,Venture,A,5300,8.9,0,0.15,jbogyfwq-e7C6,N9nlehsb-8Iau,F9aDvHsM-rwKB
vcOewMeA-bH8L,Personal,A,5000,7.43,0,0.03,760n1alv-qcY2,vcOewMeA-bH8L,H7HpMEOv-zJDT
GOoe3Ina-5dvY,Debtconsolidation,D,8000,15.28,1,0.13,npxmAKGQ-8S8Y,GOoe3Ina-5dvY,EwOy5vcx-LTNr
RqSN5D9J-CLzn,Venture,A,2400,NULL,0,0.03,yG1K1uxW-hWsb,RqSN5D9J-CLzn,P7P7qdSo-DSWs
mxzzIiPW-OsEB,Medical,C,3500,13.98,0,0.03,GjhgpPBW-9ZCl,mxzzIiPW-OsEB,fN4md23z-anj8
71CDTKEC-RqzR,Personal,D,10000,NULL,0,0.23,zwF1Y3hp-g5DI,71CDTKEC-RqzR,hxPoB83j-1WYx
UNGjXHMI-UDL1,Homeimprovement,C,16000,13.06,1,0.41,GiCc6xIw-DWSI,UNGjXHMI-UDL1,hreu0ZFj-IGdW
4XDCBpkk-ckEF,Personal,A,10000,9.63,0,0.23,4D84DWwp-3lyZ,4XDCBpkk-ckEF,kQRvu2ha-68H5
kXzD7pGn-SYip,Education,C,5000,14.79,0,0.08,oOA1aMG7-oHSe,kXzD7pGn-SYip,fNJTvi5X-vxCW
ulZF6Onl-Wl4d,Education,C,6000,11.03,0,0.18,5UpgLGci-B0Jg,ulZF6Onl-Wl4d,WCAzGBYC-GTBh
KXSereq4-TnrC,Personal,B,14000,10.99,0,0.1,kHUfQqdh-J0Bj,KXSereq4-TnrC,n4K4Obdv-hWO1
kgZdwWw1-myEw,Venture,D,10000,14.74,0,0.23,Xpc81Qqf-nhHv,kgZdwWw1-myEw,hRYQGDZx-6Etk
FL5kisyO-ZhT6,Homeimprovement,C,4000,14.35,0,0.1,oKsvnRj6-PFoF,FL5kisyO-ZhT6,tx5R7pQT-0Jfn
jfQhOZTn-ipt5,Medical,A,NULL,14.74,0,0.37,EoHtUoCn-CoYl,jfQhOZTn-ipt5,1dso4dsy-LdaF
2FA3PHKT-6fll,Venture,B,11425,10.37,0,0.11,DR9QWlKw-IQ51,2FA3PHKT-6fll,ILzT0nfm-q2Yg
mveXnde4-j0EJ,Homeimprovement,B,5000,10.59,0,0.09,0ZEtWxJK-aqUj,mveXnde4-j0EJ,gPZWWgPl-g1nl
GlFbpFx4-PAkq,Homeimprovement,B,2000,10.99,0,0.03,e8SFXui1-CvW0,GlFbpFx4-PAkq,4vQiGUft-XT4o
M4Hn60ui-d7cF,Education,B,10175,12.69,0,0.23,bH0Ervdv-d5ZM,M4Hn60ui-d7cF,WhQsHelO-ESHC
jDERS8Xn-m38L,Venture,A,28000,7.49,0,0.25,fx8Oa3t6-Na4O,jDERS8Xn-m38L,49ynPGOW-e8Hq
9ZlP7i6T-LXFy,Homeimprovement,B,6000,9.99,0,0.12,tEF86vMi-uFEr,9ZlP7i6T-LXFy,jFn6IO7q-Agb7
8oJg3aGE-bk2X,Education,D,9000,NULL,0,0.14,bsAXKZ2S-e0U6,8oJg3aGE-bk2X,uZ7SNnPH-hwrK
0pD5Pe2t-vW23,Venture,B,9700,8.88,0,0.17,jdgaxdsP-I8e3,0pD5Pe2t-vW23,f1dATFoO-MgwZ
HzEkrhsK-GiP3,Venture,B,3000,NULL,0,0.05,B61FfrJA-ulFL,HzEkrhsK-GiP3,pJrmBWDD-3UmD
c68dM9ub-mBkk,Education,A,10000,7.49,0,0.2,BtCCBt76-3b4k,c68dM9ub-mBkk,JAmLHyrJ-TgLN
3szDk04H-zEkn,Debtconsolidation,B,12000,10.38,0,0.22,mQkvL2tQ-eQC5,3szDk04H-zEkn,Q9CIcdtg-aN5n
CqHHrgEk-05Xg,Debtconsolidation,A,5000,9.32,0,0.21,MAvEq6WU-f2uK,CqHHrgEk-05Xg,uTzxCXnD-QaKb
Sa0er5JH-c6GN,Education,B,1500,11.99,0,0.03,Hcp8mIU2-vMZS,Sa0er5JH-c6GN,zIv5dvlz-ji3L
Q4GfW5Fq-W8Ug,Medical,A,7000,5.79,0,0.17,gXr1coXK-fm3u,Q4GfW5Fq-W8Ug,YeeXnhX3-8lbh
puC4Eu2m-rxNP,Personal,A,3600,5.99,0,0.07,aJ05mUS2-l1le,puC4Eu2m-rxNP,B6FSRyw6-kBT9
0DonudQG-BcGI,Venture,D,7000,NULL,0,0.13,ZgSuILWz-GLHX,0DonudQG-BcGI,sR45cCNk-GbmM
7QovuTyg-Gp1Y,Education,C,1600,13.11,0,0.04,ZZO6gSMT-LPea,7QovuTyg-Gp1Y,8gox9aHE-Hyj8
nlQGBxZh-UiF2,Medical,A,1200,5.99,0,0.06,4qlJIMJt-6NoM,nlQGBxZh-UiF2,XGI8zSfY-oqb3
NQ2PzAaI-726q,Personal,B,7000,10.99,0,0.2,pOxZuJQP-6LOL,NQ2PzAaI-726q,oDXgAwki-U75U
eAorChJw-WBQU,Personal,D,4800,15.99,0,0.17,qpseF2fi-gSWS,eAorChJw-WBQU,t0YTnRKN-0Wrq
TiPK2yiJ-jRBN,Debtconsolidation,A,7000,6.03,0,0.24,pUiG5ElD-8MUf,TiPK2yiJ-jRBN,fW0sSKfs-aPwj
xK1Xyk8p-vHRs,Education,A,1500,6.91,0,0.02,dTPD8GfL-g9Ki,xK1Xyk8p-vHRs,Ag4ycuWa-Ru5z
0NEFeXYw-ugvp,Medical,B,7000,9.62,0,0.09,IAkyZl07-0kye,0NEFeXYw-ugvp,r8aac2Er-fvX6
PWllpM3f-wP1d,Debtconsolidation,C,16000,13.47,0,0.25,zlMjX2RY-KtnS,PWllpM3f-wP1d,CkJhKGIx-imcZ
eEss4LKA-plhk,Medical,C,7750,14.27,1,0.29,jr3OTh7q-n0Ns,eEss4LKA-plhk,8WP9q5cJ-XNti
uWHTjS2k-j0X5,Venture,F,7000,19.47,0,0.12,lIhlJsZE-8re2,uWHTjS2k-j0X5,LHZvBq8Z-RcSU
n1po9B9Q-Ijsh,Debtconsolidation,A,12000,6.03,0,0.24,qOriIaFN-40K9,n1po9B9Q-Ijsh,JieUZZTl-7eIY
9pM8C25z-v3ZK,,A,1500,NULL,0,0.03,wiA1kK0v-pMxB,9pM8C25z-v3ZK,qquMOPJM-ZEv7
PJSmSUN8-ZP2t,Debtconsolidation,A,11000,8.9,1,0.41,Ou3UiP8v-7eIy,PJSmSUN8-ZP2t,7XY7Crub-bUm7
srYP0Itj-pncj,Education,B,10000,12.42,0,0.18,sNrZg2p1-4jnf,srYP0Itj-pncj,GU4NaR31-gJPK
KNEvnXKG-JeuS,Education,C,1500,14.79,0,0.04,HW9Cyzhg-7xpb,KNEvnXKG-JeuS,gEzUkEk8-rZL8
3xdbCwFj-em0m,Venture,B,4000,10.65,0,0.11,BhZCh61N-MS0R,3xdbCwFj-em0m,RCkSBW4D-3QEZ
gcr17JFt-2lPA,Education,A,7000,6.99,0,0.1,3wsfEApw-bktS,gcr17JFt-2lPA,BCutfBIK-WaAa
L6iPSA1s-3sUK,Personal,B,11000,11.14,0,0.13,R8qQkCbI-wJh1,L6iPSA1s-3sUK,dj9hpkrZ-iIe9
CsG6ilXL-FadA,Medical,B,5000,11.49,0,0.07,YTsQNQFH-z91C,CsG6ilXL-FadA,HGteyRIy-0PrW
9UCSRG1u-gJbv,Debtconsolidation,A,9500,6.03,0,0.27,Kx5gpTXD-PXli,9UCSRG1u-gJbv,5sM1yivA-tuln
OgdtUY2u-brzZ,Education,C,3600,14.27,0,0.03,jKl3POt2-1lnr,OgdtUY2u-brzZ,pEtU6AIw-NZKN
XFJEmIqK-qnmm,Homeimprovement,,NULL,NULL,1,0.47,Tg8LGEZu-F1YD,XFJEmIqK-qnmm,rSCG9x1w-fxqL
3NascpDO-U6dQ,Personal,B,7000,10.65,0,0.08,AhAJmtAm-ivhG,3NascpDO-U6dQ,JoOR22L4-BJi4
5Rv6nZzk-3B6o,Debtconsolidation,A,6000,NULL,0,0.1,S0E9f1kT-Gpi7,5Rv6nZzk-3B6o,wJahIpFx-Lq6E
cXJCPpl0-g1Ra,Venture,C,20000,13.06,0,0.25,NjziCwPI-F0h0,cXJCPpl0-g1Ra,0jTwcDNx-bWbR
CfkQ0bmk-iyPA,Homeimprovement,B,15000,11.36,0,0.27,mgYR0xRl-0MlA,CfkQ0bmk-iyPA,gafaOsbP-GM7R
B2IyAwdU-Uo1z,Venture,A,15000,12.42,0,0.25,zYaI8MXh-ywQi,B2IyAwdU-Uo1z,yQtH8Jz3-Skjh
d5YUEzJR-9bJr,Homeimprovement,D,20000,14.54,0,0.25,1kbTzKLy-XuBK,d5YUEzJR-9bJr,tI9Kopnn-XQxF
icqttrjA-lngn,Debtconsolidation,B,12000,10.75,0,0.18,p0jAjDS9-mtZ2,icqttrjA-lngn,7OpBQDdU-x3dN
LnWfJaZS-NoXq,Medical,E,13475,15.68,1,0.4,dKI5MG8L-sLaY,LnWfJaZS-NoXq,h2YkEwPE-ozu3
gAGzUvDH-49Je,Venture,B,2600,12.53,0,0.06,Twngp73u-KvFM,gAGzUvDH-49Je,n7aExIgg-IoUW
D3NZnipT-MYS5,Education,B,8000,9.25,0,0.08,ih1b4coY-MKPa,D3NZnipT-MYS5,e4gqPknB-8hND
bh4MuLBz-npmd,Education,D,7500,15.33,1,0.27,ROeFXq2r-enKX,bh4MuLBz-npmd,DBiXOc7i-y1sj
HTWnax9c-czCu,Venture,A,10000,7.9,0,0.15,LPyaCwQZ-G18e,HTWnax9c-czCu,O4osxmGp-EBog
n0Q63bhG-weiy,Medical,C,15000,12.87,1,0.2,m3b6Ze3G-TJJE,n0Q63bhG-weiy,Z6phgNi5-vyq1
r962xk9z-b0YF,Education,E,21000,15.2,0,0.28,xEcUw5XU-8h9x,r962xk9z-b0YF,FLlYGcLe-8Fn8
tfIIXEGz-LW2Z,Medical,B,6000,10.99,0,0.06,UcmfPNDS-TMTL,tfIIXEGz-LW2Z,kGEwP0jt-XO4v
F0Xxp18x-J5as,Education,B,6000,9.99,0,0.09,vaAi7xat-ASfl,F0Xxp18x-J5as,4u0xhNg3-HDTZ
PGlfLbiv-I22U,Education,,NULL,11.11,0,0.13,dFLPbGIb-4qI5,PGlfLbiv-I22U,MKU08LpZ-x0wF
dTPzRoF6-LIXS,Medical,B,14000,12.69,0,0.18,OjC7Ylgx-6F7L,dTPzRoF6-LIXS,1G52vR37-wRxH
pvBvdy0p-8tMY,Personal,B,3900,11.71,0,0.05,9eoxBMpL-gQtg,pvBvdy0p-8tMY,e3sTkwal-CzRz
HHxXbbRR-trLL,Education,A,12000,5.79,1,0.33,55K0v2jY-hXGq,HHxXbbRR-trLL,5RrDZlBy-F0YT
mRgMwukD-kMkX,Personal,A,11000,7.51,0,0.15,AeHS9pdM-9ctm,mRgMwukD-kMkX,IuPtHWRi-gEOd
nxxvQ883-Saz6,Homeimprovement,C,7000,13.79,0,0.1,03c5vbkb-p8u5,nxxvQ883-Saz6,DI9TxGHp-Nj6c
0iBuGEIS-QdfL,Debtconsolidation,A,2700,6.91,0,0.09,ENJ47R41-fSIa,0iBuGEIS-QdfL,pgI9ZTAm-YAYL
AU7hjhNa-8mnc,Medical,C,1950,13.11,0,0.06,FNRjnRQx-32Bi,AU7hjhNa-8mnc,NXjt6KNg-YGe6
mFDmlPA7-NgHR,Personal,B,2400,11.58,1,0.09,LzJTc5qP-ZJx2,mFDmlPA7-NgHR,5mmRcWRZ-7Zge
lhbozvlt-X8f2,Education,D,20000,14.96,0,0.17,UBLAW6nR-R6TT,lhbozvlt-X8f2,K1ImOsPt-7C85
mNjtz8vK-AqNX,Venture,D,20000,15.65,1,0.23,LRWLzh6B-ssuC,mNjtz8vK-AqNX,Gv89KsqE-QNMI
hlmDW9Xu-uTWy,Venture,A,12000,7.49,0,0.12,LDDz5BYc-BW22,hlmDW9Xu-uTWy,uB7Gi57r-Ofjc
94PtOUHa-oUrQ,Personal,B,10000,10.65,0,0.09,yFtij0Y4-p5ew,94PtOUHa-oUrQ,Pj0dOZ3F-hLKh
E6vPp8j9-eazW,Venture,A,9800,NULL,0,0.16,ubPirvb6-awDu,E6vPp8j9-eazW,mOPvkA7X-ynPf
50WiCGao-3DlR,Personal,E,18000,17.39,1,0.26,cQOSY7KA-KOiG,50WiCGao-3DlR,Y3ax7jZw-F1wt
Cn8d4NeO-3gWs,Education,D,4600,NULL,0,0.1,QpGyOLm4-u8B4,Cn8d4NeO-3gWs,f0LlmTz7-ldTU
ajxJSClr-dZjF,Personal,C,10000,13.48,1,0.33,fG8dDGFy-ftmU,ajxJSClr-dZjF,YK5OXFbB-BBpF
0CI22q0D-trgu,Venture,B,8000,11.36,0,0.14,bhrWEj6t-TFpy,0CI22q0D-trgu,fuPC7ZQM-bQL9
oq4MASqI-gUbi,Medical,A,5500,5.79,0,0.26,tBL5YpgG-Qk11,oq4MASqI-gUbi,MdX4R2IC-ECvi
UqXblvCd-Ij7K,Homeimprovement,C,8000,NULL,1,0.21,liYSBbuH-NOPZ,UqXblvCd-Ij7K,TAGvpE5h-RgHz
Ae0WC4q6-tHoj,Venture,C,7000,11.34,0,0.2,gy68hwtm-wrkk,Ae0WC4q6-tHoj,cPbWdDIh-MDgD
27jMmCx1-wm74,Homeimprovement,A,10000,5.79,0,0.14,vrsSKny6-O1WN,27jMmCx1-wm74,gtSqfhiu-JLEB
ig4FZUup-0glk,Debtconsolidation,C,12000,14.26,0,0.29,ZqxXqJzm-nzXE,ig4FZUup-0glk,DELvGGU9-OsAW
tsROStpp-fPHz,Venture,B,12000,11.71,0,0.28,0eJLO9x8-89WY,tsROStpp-fPHz,JEoHz1PR-FTGZ
ZEdfLyK9-BtFz,Homeimprovement,B,9475,NULL,0,0.13,XOfwMYun-OB8W,ZEdfLyK9-BtFz,EJatMsIH-nYNJ
w6eH9gG8-NKRm,Education,B,10000,10.83,0,0.31,srsw3TSO-7o1u,w6eH9gG8-NKRm,iWYTsIG7-W6CY
uzpZwUoY-zGtL,Medical,A,18500,NULL,0,0.16,0h1lfYtK-LS7I,uzpZwUoY-zGtL,leIagDfx-Nk1S
CWFBmXUg-FOhc,Medical,B,5000,NULL,0,0.08,MBECUrD9-TZzU,CWFBmXUg-FOhc,pdpR5jNr-OafN
CJ9rcX2u-Tqw0,Debtconsolidation,,NULL,11.26,0,0.13,LpMl6R9M-68gK,CJ9rcX2u-Tqw0,c9QdrrQ6-BUMF
w1ABYrzH-euQY,Venture,D,4500,14.84,0,0.04,QTWO2Eiv-M8M5,w1ABYrzH-euQY,5RUmrw9Y-9qY6
QtleSISc-ww4L,Venture,B,12000,11.83,0,0.15,2srHce4i-jImo,QtleSISc-ww4L,Iga307tT-gpsO
Hh0LXxYz-kNNk,Education,C,15000,14.26,0,0.25,YpXdjJIj-JDiY,Hh0LXxYz-kNNk,7Fw0sDuv-OYkH
brPqfrhP-fAMy,Medical,C,9600,13.49,1,0.33,cNjqdalC-lZHL,brPqfrhP-fAMy,OfttfzMz-mHGo
plrzhbrP-g9Cl,Homeimprovement,F,5500,19.13,0,0.04,OdNIilrY-yDEt,plrzhbrP-g9Cl,1MfHAjWG-59sM
LeRWzxhM-3jHv,Education,C,3000,NULL,1,0.08,jj2WgouH-OHFk,LeRWzxhM-3jHv,hOi0fKv3-ndgG
rCeIoXx8-8yCq,Education,A,9500,7.88,0,0.23,IqkS5STC-eY4A,rCeIoXx8-8yCq,PBfOt1bN-sFTl
8UsiKbea-sX1y,Venture,D,25000,14.83,0,0.08,gPsrrvbm-bcgW,8UsiKbea-sX1y,9GXWJOPY-gruw
HthFRqTZ-QJ4q,Venture,A,2500,7.4,0,0.08,B6yFvdCH-mo3Q,HthFRqTZ-QJ4q,n2BN7bLK-T5vd
S9kQsSLm-TNyT,Medical,A,6000,6.92,0,0.05,YEAJKIxD-SJz1,S9kQsSLm-TNyT,wP3UF28c-LRSk
q0pS4E6D-mJ1p,Homeimprovement,C,9000,11.03,0,0.2,4AAy1pAf-emN0,q0pS4E6D-mJ1p,h4COl5fi-vQzP
hoiyYPmw-RPfp,Homeimprovement,B,5000,11.83,0,0.1,mYf6mOB9-g5al,hoiyYPmw-RPfp,KaSShIGf-eTd5
vqZIRIQv-WZBz,Debtconsolidation,B,12000,12.69,0,0.28,8hIbWzC3-PncU,vqZIRIQv-WZBz,rnLDYnji-DQ15
ydYE7SYm-hKyp,Debtconsolidation,C,4800,NULL,1,0.08,O8SqaxJs-NgbX,ydYE7SYm-hKyp,XvGFuM3i-4KXc
Jxd88oLB-4JpT,Education,B,3500,10.99,0,0.06,KwAA3YI5-9p6L,Jxd88oLB-4JpT,Pzp6OMUH-xqlv
3OwGINEv-JFbH,Personal,B,20000,12.53,0,0.23,6MDRZWKk-ZHWy,3OwGINEv-JFbH,15fUzdlQ-lD10
ySCj4LB2-DO8v,Education,A,14000,7.9,0,0.19,XZKGyTZt-iCtx,ySCj4LB2-DO8v,pSaP7p9S-SfBr
bwvTEMLY-ru6H,Medical,C,9600,13.22,0,0.08,EfdzEBEq-lcdk,bwvTEMLY-ru6H,uh5BSZdj-qcag
jQcHpJGX-1Cbu,Medical,A,900,8.63,0,0.02,mnudczeA-0dJA,jQcHpJGX-1Cbu,Y63x65wv-zsKF
ES60gt32-AsZ7,Personal,A,2000,7.37,0,0.06,K8Bsb3OM-BE0c,ES60gt32-AsZ7,x2bN1J8w-jqvB
i6RAs8fc-cHw4,Medical,B,5000,12.21,0,0.07,WuSdOYSO-YrHC,i6RAs8fc-cHw4,0Qjg9pYn-DoJi
UnFxFiWF-Dh62,Venture,C,1000,13.48,0,0.01,A7W80RZi-lTMb,UnFxFiWF-Dh62,gPqaUs55-8o1P
doKiIHcO-217y,Medical,A,13800,8.9,0,0.29,xXnhLp6d-jz2I,doKiIHcO-217y,ft7gJT4c-HCpK
BxSvwzlF-4CpT,Education,A,11400,9.63,0,0.08,nH4ms8Ea-qq0U,BxSvwzlF-4CpT,llmaYKlw-iW8p
ZuTyUvcJ-skxW,Medical,A,3000,NULL,0,0.11,eaYvzPh6-IGJd,ZuTyUvcJ-skxW,6Tu2tM4u-RSrQ
eUOXJdFk-C4pE,Venture,B,7000,9.91,0,0.19,1DxlOcJI-Qmz8,eUOXJdFk-C4pE,pDGZlDhp-4JyT
H0W2EY7U-JlWo,Education,B,3000,10.65,0,0.05,w2ISEIxp-gJ5s,H0W2EY7U-JlWo,4TjPZxNb-cwjH
0lsas9Tm-ui1w,Venture,B,2500,9.91,0,0.05,OK8UdrPW-M9EU,0lsas9Tm-ui1w,nKCgIZZl-fipd
wWctZbGH-D63Y,Medical,B,8550,10.25,1,0.24,TDWa1Bbb-AekR,wWctZbGH-D63Y,qt6jW6Eb-dJ8v
zcDwdlne-Bijz,Personal,A,4500,NULL,0,0.09,m3nf1Kdd-aZbw,zcDwdlne-Bijz,DNPo4jc3-cZCD
afs3laxg-edmu,Venture,D,10000,14.74,0,0.08,i0UbjUSw-Siws,afs3laxg-edmu,jHxLbSWk-pTWL
p2rWwheC-LtDT,Venture,C,6000,13.16,0,0.09,sBBbf4Jh-YnBA,p2rWwheC-LtDT,azPeIA0Q-LcAr
Oq8fDn6D-TycS,Homeimprovement,A,12000,NULL,0,0.09,6GNz8beH-BDYR,Oq8fDn6D-TycS,RJUfWZLm-LRUz
NAPjbRpd-REOS,Venture,D,7000,15.62,1,0.29,51TWPi3q-Wnnx,NAPjbRpd-REOS,IRxedkPY-eT0d
v5AZjOmf-lhcs,Homeimprovement,A,12000,8.9,0,0.3,LNaAgJ5o-KTgt,v5AZjOmf-lhcs,0d6GQdgr-k8iM
FQInWAFy-tEjS,Homeimprovement,A,10000,5.99,0,0.12,cOjphcx5-Bco3,FQInWAFy-tEjS,1564Ou1j-dkR1
PXDXuTxb-EanI,Education,B,20000,11.26,0,0.22,vRL7pKAX-cHRw,PXDXuTxb-EanI,5jgFbEAT-898O
FnU29QY7-ZJ4I,Debtconsolidation,B,30000,NULL,0,0.17,e5NZs6MM-Wcnj,FnU29QY7-ZJ4I,7I9C0967-ZzTC
KKKGa3ec-rTXM,Personal,B,20000,11.83,0,0.24,yvQXoQus-OJpr,KKKGa3ec-rTXM,PlnYHZC0-6P7J
y16nbuMy-t5Kt,Medical,D,3000,NULL,1,0.05,2OgIDkJR-a2FD,y16nbuMy-t5Kt,358npbPK-qGY3
xk4qyBzs-r2Za,Education,A,8000,8.49,0,0.3,RDPNlIAW-cXho,xk4qyBzs-r2Za,x6AhOA5c-WxQx
UFFaDOrJ-o9wJ,Education,B,17500,12.53,1,0.4,Zl6KZ6A1-QjEg,UFFaDOrJ-o9wJ,E2nZi6mC-hxhJ
hk6qf9Rs-ayS6,Venture,B,2525,NULL,1,0.19,nHEMHtDa-GNQb,hk6qf9Rs-ayS6,8WbdMtOI-WRrh
DcFF0S5G-f8rL,Venture,A,9000,6.91,0,0.1,WrJSbz5F-lqhz,DcFF0S5G-f8rL,I517jRCJ-mpis
k5BFeUiO-aymN,Venture,B,12000,11.58,0,0.17,iDog39su-Kk3o,k5BFeUiO-aymN,yKTZJdbD-wUE4
7sJglLo9-T6EA,Education,B,2000,11.99,0,0.03,cdG1GlXI-1bhs,7sJglLo9-T6EA,Ke9Rn8vB-pfJl
Js6eFhAX-97ra,Personal,A,15000,6.03,0,0.04,zuLdv8fe-vC1H,Js6eFhAX-97ra,eF5XrhQm-zFMS
YjgPaaPj-UpqU,Homeimprovement,B,14125,10.37,1,0.41,gxZ3Oq36-4Rd6,YjgPaaPj-UpqU,rH8AwHtj-ApmD
IotiA4ZY-b5B0,Homeimprovement,A,4800,7.05,0,0.11,yaLWoch2-Cl6L,IotiA4ZY-b5B0,nOtLmiOU-mu5E
e4aa49KX-3WrF,Education,C,2700,13.49,0,0.08,fCmCkhOM-a3f7,e4aa49KX-3WrF,cLYEjG9w-RerT
rNCS45O8-cznk,Education,E,14000,17.51,1,0.17,8leuFB1H-ebPl,rNCS45O8-cznk,hAoDgzBW-UsQU
YUDKcfrt-ZOsJ,Medical,A,15000,6.54,0,0.23,yhOvHCWo-Ikes,YUDKcfrt-ZOsJ,LnR35RvX-Z8hi
7Wd2pcM1-2AnX,Personal,E,19500,15.57,1,0.4,lW6fhKLF-Ia1j,7Wd2pcM1-2AnX,JBAMdwTp-9zJG
k18WQB4N-xznU,Homeimprovement,D,6000,15.62,0,0.08,1GCntydK-vIbY,k18WQB4N-xznU,SNmjHYsp-tTeU
HBi7LQeB-mbdB,Venture,B,20000,12.42,0,0.25,e3vlfIgy-8rwl,HBi7LQeB-mbdB,4u1H78wN-T3Ao
2lROXTyK-mamK,Debtconsolidation,B,5000,9.76,0,0.11,rOoKGiGE-6Hhc,2lROXTyK-mamK,XypN0lCI-owkl
TQ37mIM9-nRKT,Debtconsolidation,A,5000,5.99,0,0.08,GwEupepu-fJpo,TQ37mIM9-nRKT,Kbf1mjmg-nKWe
8A8bOe02-BKUq,Personal,B,15000,NULL,1,0.42,uNh8htfT-Udvi,8A8bOe02-BKUq,MuqXLphM-fhuc
m0MKwbKX-o7Rl,Education,A,5000,7.29,0,0.13,dADhbEr8-DCF4,m0MKwbKX-o7Rl,l3BMduC0-UdhU
XTm9HLfL-IvqH,Debtconsolidation,A,6250,7.9,0,0.3,okWKL8AX-vfAn,XTm9HLfL-IvqH,CnRu0gQK-iN2T
ivZielgC-crOA,Homeimprovement,B,3500,10.99,0,0.06,hEEO67Tb-S20f,ivZielgC-crOA,SweTu6Qz-iLEd
DBSm7qeF-0Jj0,Education,C,14400,13.48,0,0.13,NFW3MblK-FDE5,DBSm7qeF-0Jj0,ONuFPKH8-GC1X
DgnSk5XS-nbQg,Medical,B,4100,10.59,0,0.07,CRYFgdkr-bPPm,DgnSk5XS-nbQg,p9JdMq24-brNn
QDRG6oaX-23Wr,Medical,A,12000,7.66,0,0.13,oHeBuGam-11qu,QDRG6oaX-23Wr,Hkvlq9cH-F5SI
bWJg8aaH-95Gv,Venture,D,24000,16.29,1,0.5,hYfp5hiI-ouOE,bWJg8aaH-95Gv,hy38o1LQ-7sOU
0iNcXybz-j3Ra,Venture,A,18650,7.9,0,0.37,3n5thedw-KUWl,0iNcXybz-j3Ra,D2RW7alK-oLjz
NzGiG1wH-pjE9,Education,C,7750,13.16,0,0.3,LfDZ7iGN-xtkK,NzGiG1wH-pjE9,Nz7EG7Ol-G7bJ
UBxYoYqe-LNbD,Debtconsolidation,B,20050,10.59,0,0.26,1ooolPGP-E9f3,UBxYoYqe-LNbD,rP3uN8Ok-oZv5
EaePqYRf-93l9,Medical,A,10000,6.62,0,0.08,w6iilLsy-CvkU,EaePqYRf-93l9,hE4nXe4e-FkZb
XfcFZWWk-BMlD,Medical,B,6000,NULL,0,0.08,qRyAuiRC-ZXid,XfcFZWWk-BMlD,Ncf7oav1-Y4x0
Oaf1ztOS-szws,Venture,D,9000,14.54,0,0.1,v4aJcvCF-FStB,Oaf1ztOS-szws,IW3yWBge-8FBz
EgPOG2XK-fvyf,Medical,B,12000,10.99,0,0.1,njWJKsUu-ppA5,EgPOG2XK-fvyf,DLkhdlYN-II8P
uBxXp0a6-mpey,Education,C,8000,11.09,0,0.11,NjGHSGqG-USFO,uBxXp0a6-mpey,2F4NQZdn-gzfN
AggZqfcb-aMBO,Debtconsolidation,C,5000,13.49,1,0.25,ShSGOEFc-dX8i,AggZqfcb-aMBO,4mIr3Jfl-NYeT
RlTq8Id1-bPf7,Venture,D,3600,16.29,0,0.07,FmuZWAJm-ycoI,RlTq8Id1-bPf7,XE6YrA4c-Os1D
aiQkuxaA-0fK4,Personal,A,5000,8,0,0.13,sioxr2r4-JWOX,aiQkuxaA-0fK4,bIifgsI7-a4Zh
tnwUoc9G-cMCb,Homeimprovement,B,20000,8.88,0,0.13,2rbwz6KO-bwGZ,tnwUoc9G-cMCb,BCBpidNz-lP8z
NagPYPWE-bFBO,Medical,C,4500,13.22,0,0.15,gsYrhRhW-Q7vz,NagPYPWE-bFBO,Ghu14ANl-zmE7
NvA5v8Zj-gQPy,Homeimprovement,C,8000,13.8,0,0.15,112Yan8I-mNd5,NvA5v8Zj-gQPy,HXRRFOR1-CFLg
Ujd43N8C-9ott,Venture,B,8000,11.36,1,0.31,r5WHfNIA-szzS,Ujd43N8C-9ott,we10cMGz-TqSJ
SCANiWkQ-gjrA,Education,A,12000,8.9,0,0.28,joZ5EIak-P6Ee,SCANiWkQ-gjrA,DnKKczhl-3Nv7
