id_cliente,id_emprestimo,id_historico,tipo_imovel,motivo_emprestimo,grupo,idade,salario,tempo_trabalhando,valor_emprestimo,juros,emp_sal,tempo_cliente,INADIMPLENCIA,RISCO_INADIMPLENCIA
3QrrKxYs-Ksf9,mAAbfW5i-hOds,GJXsUEd1-aAAv,financiado,ensino,A,43,122500,4,9150,6.03,0.07,12,0.0,0
p77uErZ9-Ef5h,a47H0LZE-eb25,TbRq9Rgi-9H9n,alugado,quitar,D,23,138000,7,24000,16.0,0.17,2,1.0,1
tn0NQ0ra-B9Yh,8I5Q1eLS-iakl,FIpEEOEL-lmWW,financiado,reforma,A,24,118000,8,5000,5.42,0.04,2,0.0,0
MdpmtkUS-aJKX,bga816hO-SySY,mrt2gvPo-p3Mc,financiado,pessoal,C,42,175000,12,7000,12.99,0.04,13,1.0,0
W9KZpR2c-NTUj,F72fjmTH-a8rX,S5MfF2HQ-76Kw,alugado,ensino,B,22,36000,6,6000,10.75,0.17,3,0.0,0
CThqJS2W-adjs,ZpMX3zgS-8xvJ,DIKeO8yl-QAHA,financiado,ensino,B,34,120000,10,20000,10.37,0.17,10,0.0,0
0ArqIZfr-CLmA,hKtHzbJG-RRdR,jskLKOMo-2yTE,alugado,reforma,D,26,95000,9,18000,15.31,0.19,3,0.0,0
ESAaEgc3-GWpe,DavMgMk3-I9Mi,KNoJUURv-aL4l,financiado,quitar,C,26,104004,10,15000,14.22,0.14,2,0.0,0
qWbCJuDq-mHT5,R1mqJv72-rWhB,JXsXnOie-lgZw,financiado,risco,B,31,72500,12,8875,11.99,0.12,8,0.0,0
7FuRPybf-tjaj,cN47K7Aq-MhGC,ZtpoOyOZ-MyrK,alugado,ensino,B,22,75000,5,7000,10.99,0.09,2,0.0,0
kjTwnEGp-RXEi,uKSfBM3i-dvhJ,RMpr2ofj-LjyY,alugado,reforma,C,24,62000,3,10000,13.49,0.16,3,1.0,0
b74axXLL-3pmz,7zma4vlK-piwC,NwGnMcC4-5pJb,alugado,reforma,A,26,50500,0,4050,7.88,0.08,4,0.0,0
3dXCwhtX-Il3K,eQLKebUx-TZJc,Koeuu7ih-qx1T,alugado,risco,B,29,90000,0,23475,11.58,0.26,6,0.0,0
7HvZC7F4-byQc,R3A7WEIa-8feT,Cm68JYYv-Uj2A,alugado,ensino,A,23,55000,2,2000,7.49,0.04,3,0.0,0
Faa8lICS-0nQc,KT60QWpY-bPT6,rGvxwPBL-yOOw,alugado,risco,A,23,62000,7,16000,7.49,0.26,2,0.0,0
a2zgmh8Z-fIyr,b7Tn8BR2-ODmY,mol3TPFH-c5K8,alugado,saude,A,22,65000,6,16000,8.49,0.25,4,0.0,0
hrsQKnxE-jeso,9FeG25j8-6UOG,H98g545P-4Trw,alugado,ensino,B,24,66000,3,25000,9.91,0.38,2,0.0,1
YLR0AIfu-AIru,BedK4fLt-sj1J,xpOxtInw-Mlno,alugado,quitar,D,33,248735,4,25000,14.11,0.1,6,1.0,1
mt7nCk6m-55WE,Q2rq4iNP-iYyJ,GcFklKhW-Sy2f,alugado,quitar,B,33,34000,6,8000,9.99,0.24,5,0.0,0
NL5OOabP-Z4S1,jIixYASF-EcfS,7DKMsB2k-rpAc,proprio,risco,B,23,23040,0,2000,11.11,0.09,3,0.0,0
7iPBtzbQ-yBR2,mzaZrIba-KIoG,HblnvS65-KG7m,financiado,risco,C,33,70000,3,20000,12.84,0.29,7,1.0,0
q6600sRI-8ryL,cdS0h0MU-4Kgs,whecYUxb-30BT,alugado,ensino,B,26,68000,10,20000,10.75,0.29,4,0.0,0
7d0xyUs6-wmdF,trggC8U3-joLs,bJmRF8nG-o3Ou,alugado,pessoal,B,22,16800,2,4000,10.25,0.24,4,0.0,1
RXAzIMn4-mzQu,QZ1e7X6F-pRkH,LXEiQu6M-aqjj,financiado,quitar,A,25,150000,9,10000,5.42,0.07,4,0.0,0
XdvIb5fQ-Gy3M,CPpdKHfR-F1Jt,egOQBPNl-Tb6U,alugado,risco,B,25,31500,2,1500,10.99,0.05,4,0.0,0
Uc5lhioH-ChqA,2xOhggZG-ChLX,ICLWUJS9-6QuW,alugado,quitar,A,22,64000,5,6600,8.9,0.1,4,0.0,0
iPuzdglZ-ONsD,FSi8Ipic-CLwu,ET9f89yr-T7nt,alugado,risco,B,29,18000,3,1700,11.12,0.09,8,0.0,0
U37ArNLx-2AUY,iSN44Zmp-dvvA,QCgekcrf-x9yh,financiado,ensino,C,23,56004,0,10000,13.61,0.18,4,0.0,0
PjWlZuNN-3dA1,YHULG0Io-J8jp,YO7twzwq-UKtN,financiado,risco,D,23,80000,5,20000,14.96,0.25,3,0.0,0
sE75flii-JIrP,cCWn7Kft-lzCm,F7HdRtcp-BXpw,alugado,ensino,A,26,51600,1,5000,8.94,0.1,2,0.0,1
2EowgM99-tctA,Orn3KdSt-swlW,jtX5AAIw-PtgR,financiado,reforma,C,25,60000,1,5000,15.27,0.08,2,1.0,0
XFD9pY60-H6s3,e38rxpCT-fCe8,miI2ahrP-fg0x,alugado,reforma,B,33,53000,6,2500,9.99,0.05,7,0.0,0
QzzW4e5N-wzhS,slwRbUvu-9YEt,PkWiA0i1-Fa1J,alugado,pessoal,D,25,44000,2,10000,15.65,0.23,2,0.0,1
dWqOftcE-hed0,HS2E78Ly-ECxk,riq40PWW-ltyh,alugado,pessoal,B,23,85000,0,12000,10.37,0.14,4,0.0,0
5BvnWceL-EMy5,pZr7vXoj-6P1v,QzEm7S6M-xAjz,alugado,saude,B,22,55000,7,10000,10.37,0.18,2,0.0,0
yZv0BOix-wlBt,9YXiwkdy-4LX2,jOEDyr69-FHnh,financiado,quitar,B,28,69000,12,10000,9.88,0.14,8,0.0,0
M9QWhY8i-9PtN,ie5ATLXh-Xi5T,XOP555pU-K6f0,alugado,pessoal,A,24,10000,8,3000,7.9,0.3,3,0.0,1
mUEYZU9x-2WMg,xCTofO5K-F6Q3,HL6skBLZ-pn2X,alugado,quitar,B,22,50000,2,6000,10.46,0.12,4,0.0,0
6Dw8sQWO-5hrI,BwW66Q6L-s8u1,B1J68RsQ-p3g9,financiado,ensino,A,22,85000,7,11700,8.59,0.14,3,0.0,0
5IOnbp5t-nmhY,mNCB7xPS-nyDJ,8mnMvkTf-3Mnv,alugado,risco,C,36,72000,5,16500,13.61,0.23,11,0.0,0
JYpCiJ6y-O5Y7,kR4ED1vQ-hgx6,87Zar21E-BLao,financiado,ensino,C,33,54000,3,10000,15.23,0.19,8,1.0,0
2EA3TXH6-Atm8,f5J49nFJ-Gele,xreWqo4r-FmGn,financiado,pessoal,D,25,105000,6,6500,13.87,0.06,4,0.0,0
FiMBTJNC-XBnM,K2wKrP5v-aM8y,O6ukb7RO-Lj83,financiado,ensino,A,23,100000,0,11000,8.49,0.11,3,0.0,0
OyHm4BER-M7Xy,sFJXz5it-InbZ,QDDjgE4M-nzXx,financiado,saude,E,28,191250,11,9000,16.95,0.04,6,0.0,1
4dkEd2Cr-QRgx,bxUqLhMg-q75C,Swiruke8-emSC,financiado,reforma,A,29,84000,9,5900,7.66,0.07,9,0.0,0
uFBwLE2R-PjZu,N2wBQGcg-MxAW,Ffz32Si9-bDw8,alugado,saude,E,30,29004,13,2400,17.93,0.08,7,1.0,1
IJjrluem-DJNt,Bhh25QyM-cRR4,ZWk2XnvF-fioI,alugado,pessoal,A,22,50000,4,10000,6.17,0.2,3,0.0,0
GYy8TyYO-pda9,LfUj5XzF-oxge,TpQoXuDf-G7uw,financiado,reforma,B,25,100000,9,4800,10.65,0.05,3,0.0,0
PML8TDF7-1dCp,MFje4IW4-ZMMc,GLnNwwzv-6IUh,alugado,pessoal,B,23,70000,1,17000,8.88,0.24,3,0.0,0
3uwahWFO-O94p,aNAHJ7Aw-htMl,TX0eGiyF-vZSR,alugado,saude,E,29,27911,1,5000,17.51,0.18,7,0.0,1
BLcWe8aF-2oxZ,k3oEzjxw-dYwY,RNQtTJIM-Pq3z,financiado,risco,D,33,75000,13,4000,14.11,0.05,7,0.0,0
luIkjaWr-1Soq,nb2B3DzP-gKYA,FZ7nmdkp-bqyH,financiado,quitar,B,33,210000,17,20000,9.91,0.1,7,0.0,0
h4nSFuxu-YWop,2TImDAnM-jSSl,filUC0Rq-3YHe,financiado,saude,A,24,60000,8,13000,7.29,0.22,2,0.0,0
ic6Jp40s-JkE8,eDufOcsy-A3Pn,Dw6I8H1e-n2pv,financiado,risco,A,36,39000,8,7000,5.79,0.18,17,0.0,0
N5UaOiJ5-Fq5D,IlrnhzG4-agAA,oODXlOxW-zg7e,financiado,pessoal,C,29,100000,1,10000,14.79,0.1,6,0.0,0
4uqM3fxo-aTXK,pSq3zJ0z-wi0A,lDtdHLxa-icMQ,financiado,ensino,C,21,42000,5,7000,15.23,0.17,4,1.0,0
qOQYhIoz-xog8,cMfSSzdb-41rm,n64v8ZoC-Oa8e,financiado,quitar,A,42,51000,5,20000,8.49,0.39,14,0.0,0
RHHJyfBP-MiAj,cTtx4gqQ-l3S9,coM4EwIF-IuXw,alugado,ensino,C,25,80000,6,12000,12.99,0.15,3,0.0,0
vOpiM4fH-CHhQ,CdPmk61m-RUBY,yyQdwnKj-bzPZ,financiado,risco,A,25,62000,7,12000,5.42,0.19,2,0.0,0
0zb1sArJ-siS6,RH1pbrU1-08KR,ut8gXpkZ-5se4,financiado,reforma,B,26,170000,0,20000,10.37,0.12,3,0.0,0
IJecORv0-zSsR,fgFlvQE0-1y9P,mLI97qlG-y434,financiado,saude,C,26,60000,2,18000,13.49,0.3,4,0.0,0
9t2ZD62c-OZdK,mkRvPt2U-af55,oHF4mnS0-noJ3,financiado,saude,D,26,67983,7,15000,16.49,0.19,3,1.0,1
kMAYiirF-Bf9a,Lc7KMi8X-JmQE,84yw9EYm-aT7S,financiado,reforma,C,46,60000,1,5000,11.72,0.08,13,0.0,0
7evdyyjy-QvLg,XHR6rZYK-ZrMz,oSqkHhsG-mYwc,alugado,risco,C,25,55016,0,10000,13.16,0.18,2,1.0,0
JyaHBibW-jeBM,GGWYdKhZ-35Qg,3vhdbEel-mYzY,financiado,quitar,A,23,95000,7,4500,6.92,0.05,3,0.0,0
Nz0wKMuI-z58P,cmblLeTg-kZqy,Fm9sdcC2-8XPB,proprio,reforma,A,24,42000,8,8000,6.62,0.19,2,0.0,0
SC2d6zMH-q2AB,bgJwvd0b-vSiy,KExzjNLi-R6KG,alugado,pessoal,B,33,56000,7,10000,11.36,0.18,6,0.0,0
TyPW69vB-D4qW,i9ClDzHb-d4Bg,xKsUOtuP-cRBw,financiado,pessoal,B,25,175000,9,7550,11.49,0.04,4,0.0,0
70a7FAUQ-ErJH,normcqgD-gQr3,ThMbxdXX-GCEe,alugado,reforma,C,28,143000,5,15000,12.53,0.1,6,0.0,0
URlfFPf4-ePgI,hh02G2d2-YqIj,41cBxwQe-ooSU,alugado,quitar,E,27,42000,5,12000,16.0,0.29,5,1.0,1
iGnqUbIX-1aTx,bYEx01AF-Zl0D,7iS4MPBo-vUhr,financiado,pessoal,A,23,44000,7,10000,8.49,0.23,4,0.0,1
AYQRIpgx-TXjp,kyw65DSF-zhW7,rwls8apb-K1Yh,proprio,risco,B,36,29500,4,1250,11.83,0.04,15,0.0,0
xqBMCHXg-LwMp,Fum1MnKI-bgv1,armIXJ7M-FeOs,alugado,ensino,B,23,42000,0,2500,11.49,0.06,2,0.0,0
cgSaHiMY-aCG5,RKLfK6oq-evaK,IfawfQB6-cL7x,alugado,risco,B,26,30000,0,10625,11.71,0.35,3,0.0,1
rxEG9dOT-utNk,MOBiwrxt-1ibr,ohOL7KcX-hMFT,proprio,saude,B,27,60000,4,10425,9.45,0.17,8,0.0,0
Fy5elPzk-CkfX,E11F7TRO-AEfy,FrH8ixkZ-apsw,alugado,saude,C,22,25000,4,5825,14.27,0.23,2,0.0,0
Xw70ic6x-EBsC,rE1xZJjS-0oOw,0e7nySRs-AJ6C,alugado,pessoal,B,24,65000,5,8000,9.63,0.12,3,0.0,0
BB0ivfdF-Qliu,U4eiJ4gB-Qu2w,vDzfNLi8-dHta,financiado,ensino,B,22,69867,2,13000,11.14,0.19,2,0.0,0
PwxIhiAH-PhSb,Wta8xh2f-jI6W,99PcF8fM-APIN,financiado,reforma,B,26,26000,7,7000,10.99,0.27,4,0.0,0
kgoUOIk1-Cyvt,Fc22C7sM-MOhB,4Rse4OnW-oRLT,alugado,reforma,E,26,52000,10,6000,15.68,0.12,3,0.0,0
cpJbZOER-stLf,wdB7IhUL-TuoS,jEdPJ4ja-1lah,financiado,saude,C,31,80004,9,3500,12.61,0.04,10,0.0,0
tJ6isiPd-Y34J,e1Uz4DaG-WLWj,i99CEslM-RCRt,alugado,risco,A,23,75000,3,13200,6.17,0.18,4,0.0,0
DQq5QNJp-M79E,tv9hy0mm-k5jO,Cz7uudpg-IDOE,alugado,risco,D,28,63000,10,8000,16.29,0.13,7,0.0,0
vdjL2ap3-LR3R,4YT1oIQu-mvxA,DRDX95xR-POkH,alugado,saude,B,24,30000,8,3000,11.86,0.1,4,0.0,0
v0x0bIXZ-nbJD,nSQNomDP-bNWy,z1KbUwQC-RJB3,financiado,quitar,B,25,150000,9,25000,10.25,0.17,2,0.0,0
mXNmikth-RW6N,pebOBvMj-LAU2,ZE7kIn5s-dQzS,financiado,saude,G,29,60000,13,25000,20.16,0.42,10,0.0,1
mwEWEfTR-Gpf0,UjEfssJk-RzRj,gmQuAlIm-qx28,alugado,saude,E,38,58000,4,9500,16.35,0.16,16,1.0,1
75AJGPjR-nvZm,R4fTLxJI-xXAZ,eFruTCdR-PBSe,proprio,risco,C,28,157000,12,12000,13.92,0.08,9,1.0,0
L0ntL46g-hKw9,WbL64swQ-oeZv,WkCtNdlS-6dmG,proprio,ensino,B,22,60000,6,5900,11.12,0.1,2,0.0,0
NH9Xya7D-peub,TSEacSfJ-uGOR,5gX8GuEC-31kQ,alugado,saude,A,35,61600,4,4200,7.29,0.07,9,0.0,0
auPnymjY-Tnwq,56jZ81zs-ksMS,d0ypSrmO-3ZqN,alugado,quitar,C,39,60000,2,6000,15.27,0.1,14,0.0,0
msqpZ9ht-FIC0,G1pUezgw-3WUy,Q1i5xoK8-9SHO,financiado,saude,C,23,65100,1,9000,14.79,0.14,4,1.0,0
3lfsd8KX-tfKN,P9MqL6uf-zUhP,PMGnRWMK-P4RN,financiado,quitar,D,32,108000,13,8400,15.99,0.08,7,0.0,1
8Fm8bdEw-fAjQ,7MR2kHQu-MR2A,AJ3ks4hH-WDMe,financiado,quitar,D,23,64000,0,12000,15.62,0.19,4,1.0,1
H7hceG5S-hxzv,IwOgMrMj-ru5d,iuzsEK6G-aN4d,alugado,ensino,A,26,40000,4,12500,6.92,0.31,2,0.0,1
Cj1WXY6A-ohOg,AfDpD6wC-FtYn,ofFfsqH7-fptC,financiado,reforma,A,32,106000,12,12000,5.79,0.11,8,0.0,0
APOoOGfk-bcDQ,gDPk9t4d-jfM3,Fk2fAweY-Q5jB,proprio,saude,B,22,32000,1,1200,9.96,0.04,2,0.0,0
Yo9qX3RY-k42K,ccaoMDTc-R3M0,rZDmfYbB-mtWH,proprio,quitar,D,22,83000,6,25000,15.95,0.3,4,1.0,0
oHyr6RMX-3uSm,SG44g870-jgOx,qcTT4uhK-yfXF,alugado,reforma,D,25,78000,2,3200,14.59,0.04,3,1.0,1
ocMtL5Rv-hwIv,3tftvIMw-X1rU,1MjNFD4p-pM2T,alugado,reforma,C,25,46800,5,12000,13.11,0.26,4,1.0,1
ObB6cpKS-FYcU,KaSKpcaB-isjj,Z1BgSyxp-LDwx,proprio,risco,C,27,81000,4,9000,13.43,0.11,9,1.0,0
2PC2G1Wm-Ht2T,TbrUi7q6-9lmn,FaWv1C6S-hwYi,proprio,ensino,C,24,82000,8,25000,15.27,0.3,3,1.0,0
zjfoYKKD-w0MI,bkkFivp2-MCQn,qKflXH8K-hwKH,financiado,pessoal,A,24,88000,2,8000,5.99,0.09,4,0.0,0
d39hh81d-C2bI,uT3LUrbI-MRlL,cTY8pusy-c3rz,proprio,pessoal,A,42,61000,2,14400,7.51,0.24,17,0.0,0
N7xfSfH0-cSwA,SX1nsDZM-ayWG,ygm4DqFe-N0IJ,alugado,risco,B,27,30000,2,11500,10.36,0.38,6,0.0,1
uEXO0ig3-FClI,ETxOc70g-6FPQ,gkaz5H0a-YGcr,proprio,pessoal,B,24,70000,8,24250,12.18,0.35,2,0.0,0
H3r8Rm8A-dxnI,vNWqpCxx-XFqd,OlSaN4c9-wI4F,alugado,saude,B,31,40000,3,2000,10.37,0.05,7,0.0,0
CN7ykwOw-gDGo,d3UpHhpu-wST3,EoaLteoH-C300,financiado,pessoal,A,32,90000,6,15600,7.9,0.17,9,0.0,0
91HPGvBQ-rRmX,npFI1wK2-MZw1,IK9AcKYS-QuTl,financiado,ensino,A,21,62500,6,13200,7.9,0.21,3,0.0,0
Nx5Nxuzq-HxLD,lnSXj3rn-xMck,UDA35DSx-k1Nu,alugado,risco,A,26,83004,7,5450,7.9,0.07,3,0.0,0
Mz9TH5xL-16rR,0x8xGhId-0Yuy,to7vK1lk-azcT,proprio,ensino,C,27,50000,7,8800,12.29,0.18,7,0.0,0
WLUl0xdu-CAnT,Dd3jLCxJ-hK0S,NauhhBqd-Fvj3,financiado,pessoal,B,23,85000,6,25000,10.75,0.29,4,0.0,0
PuIXsYk6-uE4r,eh386pvC-y8tI,fcrnERrm-tarh,financiado,pessoal,B,24,40000,8,10000,9.88,0.25,2,0.0,0
33mwrlhH-7kGS,IjxTXbKw-To9h,p1yAsSKW-vGmC,alugado,quitar,D,25,64000,8,15000,14.42,0.23,3,1.0,1
3sEeNkTm-rbKF,WCsrCfbT-i8di,ca7sFM1f-IOI2,alugado,saude,B,24,26400,2,6400,10.37,0.24,3,0.0,0
w3I1vIvj-AIot,gMFOKKXA-6dwH,r4vhBmWl-IwBO,financiado,quitar,B,24,77000,6,12000,12.42,0.16,2,0.0,0
lbfKtWXc-h31F,vrRxsqir-PFWD,kcpr2zjr-Be3l,financiado,pessoal,A,26,52700,7,4000,7.4,0.08,3,0.0,0
eA8sinCb-fNxT,iCkMyTld-Ho5z,eDBahqpO-gQ9w,financiado,reforma,A,27,52000,11,6000,7.49,0.12,8,0.0,0
InR0jP1Q-EtCM,c0C7MO37-wW09,uJfE32mt-B4XX,alugado,pessoal,B,27,26000,6,6000,10.75,0.23,10,0.0,0
wrAnoSIp-oYdT,L0ZNgPPf-Ac7I,RinAeR42-DIqL,alugado,quitar,D,23,54000,5,6000,15.62,0.11,4,1.0,1
vkAUoTcv-p6Mx,L2kSzpSX-jjIe,a5PgbNzQ-nDB2,financiado,pessoal,B,28,46000,2,4000,11.48,0.09,5,0.0,0
921FXdnq-E4Nu,JrbWScLb-9QI1,7k0O5oo4-ECB2,financiado,ensino,A,31,64500,5,7000,7.88,0.11,5,0.0,0
Z3N05o5j-74p9,4ti6SyNC-4krA,6dH2obNc-D2Bp,financiado,risco,B,27,60000,6,5100,11.49,0.09,6,0.0,0
7KOliBSd-Tx41,Cb2NKry7-GbH8,2rdPiQTg-E8m8,alugado,ensino,B,31,60000,11,15000,11.71,0.25,7,0.0,0
3Ei3S4tf-YZta,sdN0yyS1-pGa8,Epvpxc7U-kRGh,alugado,risco,C,32,65000,2,4200,14.79,0.06,10,0.0,0
GOc1lkWa-3SN0,fhG7dPni-zHGz,s9rxcCWk-3qir,alugado,ensino,D,22,33250,0,2800,15.62,0.08,3,1.0,1
e9OLlRjP-YDro,SAKnBJQd-pTgo,KdP09prQ-kHiU,financiado,risco,B,25,46350,0,9750,10.0,0.21,3,0.0,0
BfPcct5n-bO8h,TF7j4U0u-UJgn,ADlOKTXl-ovx6,alugado,pessoal,D,30,43992,2,15000,13.24,0.34,7,0.0,1
jNvj7D8j-CeA4,OCORyMdU-SnZi,6zbC1Nek-AYwB,alugado,quitar,D,24,45000,7,9600,15.31,0.21,3,1.0,1
WoJocGm5-jqm7,LIUnXTSP-Ypg4,ccdjOrGa-DGjx,financiado,pessoal,B,28,58200,8,4500,11.12,0.08,7,0.0,0
XCbrgYym-8vBz,OgzHs8n2-nLyG,EoQ6W7UM-uMAp,alugado,saude,D,25,48996,9,10000,14.54,0.2,2,1.0,1
yTfmvZLP-N7sc,T5Euxm9S-hRWt,0J7uyJCG-6pap,financiado,saude,C,30,54000,12,15000,14.72,0.28,9,1.0,0
dClcf9fk-2QTU,JP0Stugl-Nz3N,Evgnpmym-F47w,alugado,pessoal,B,29,96500,13,10000,8.88,0.1,8,0.0,0
CQOv9p7F-dof0,cR2iOwWZ-mplU,jpvrt6y5-Kra4,financiado,ensino,B,23,34600,5,6800,12.69,0.2,4,0.0,0
i3vEcwxR-PS9j,FPDsbgpx-0hY9,kN1PMT7u-0eth,alugado,risco,B,29,99000,1,7000,11.11,0.07,10,0.0,0
zhOXPfKv-cSER,X7DIGaKz-4mJz,oxCC3W8p-NOzU,financiado,ensino,A,33,48000,9,7500,6.03,0.16,10,0.0,0
u38et8Ax-HGe0,sF7Q6yco-6rQs,4zCJ3fe5-S5fy,financiado,pessoal,A,32,70400,3,13000,7.88,0.18,9,0.0,0
uBSDDG5a-n4Z7,8R2sEHys-C8kR,G5kMxObv-5RDb,proprio,risco,B,27,113400,6,2100,11.99,0.02,7,0.0,0
xsYezUWE-8p2t,p0k9h4pA-zv4Q,mQPox1WB-kqkT,alugado,pessoal,B,24,31200,7,9000,10.38,0.29,4,0.0,0
01YXG5Wu-6eUO,G8dXXgme-h7b8,vzXp2ZX5-Yy2s,alugado,quitar,B,26,155000,7,24000,10.99,0.15,4,0.0,0
Pad4MnkI-BhSY,THsGhTCa-yID7,QjpkcJm9-TWM4,alugado,pessoal,B,23,38400,7,4000,10.59,0.1,2,0.0,0
KoqRGc20-QS8Z,qGk9WU7r-uN1F,1bkCaolY-En8l,financiado,risco,A,31,66000,8,4200,7.49,0.06,7,0.0,0
sUmtEysq-KdpA,3RdJqb81-aD0M,PAjsvF9g-My2d,financiado,pessoal,A,27,150000,11,9000,9.63,0.06,10,0.0,0
5pP9MHRw-L7ka,1ZXnQz3R-HAA9,unMKuGE6-pnoo,alugado,risco,B,26,53000,4,6800,9.91,0.13,3,0.0,0
j97cXv9l-1e9o,ux1yTqB0-Ewe6,4QD78Jw0-viaM,financiado,quitar,C,33,86000,6,3600,13.98,0.04,5,0.0,1
JwTFHpSD-JM6X,fKo7nLq0-HrgI,09CM2lIC-S77n,proprio,quitar,D,24,35004,8,8000,14.96,0.23,4,0.0,0
OxMJ02Dx-hMZO,rGQrY5rs-byPK,BWGd1x2d-Fe0w,alugado,quitar,C,25,62000,0,14400,13.47,0.23,3,1.0,0
P4Toflsc-IPnd,tf64KCsL-b5Rs,DujMT20B-st2R,financiado,ensino,B,28,76992,8,1800,12.18,0.02,8,0.0,0
v4b7CpX9-7fpX,9xolyyq8-Bs24,z0USHhFE-sYcp,outro,risco,D,27,244000,0,15000,14.42,0.06,5,1.0,0
gnk65LTI-AvFv,ypDZ96cx-4Alq,7nMjWlkM-bdrf,financiado,quitar,A,27,60000,0,7000,7.43,0.12,9,0.0,0
xEcUw5XU-8h9x,r962xk9z-b0YF,FLlYGcLe-8Fn8,financiado,ensino,E,27,75000,11,21000,15.2,0.28,8,0.0,0
SKwP26Kg-Ki4O,lyXMcohb-8FQM,ZXILKXm7-gGKH,financiado,pessoal,A,27,75000,0,7500,8.9,0.1,10,0.0,0
s35PuRuK-m0Rn,PbA4rBjq-ooxH,Qmbi9lEM-BQzA,alugado,risco,B,22,88000,6,28000,9.91,0.32,3,0.0,1
Q4qotaUD-vNxU,6NXti8rl-qxgY,7SNrcUxm-wxWE,financiado,risco,C,22,52500,6,8000,15.23,0.15,4,1.0,0
Ehsriwo9-mswH,WEoNjTFZ-c9N1,eenslLKK-PsRh,financiado,saude,A,27,91224,6,15000,7.88,0.16,10,0.0,0
Q66txWOE-0mRB,719EJDUm-6SMY,wek96Bic-WBMe,financiado,reforma,B,31,60000,2,9000,12.69,0.15,8,0.0,0
C78MXLYB-J2Xh,6TW4FQRU-luvd,LnAmJDBg-BlNG,alugado,quitar,B,22,80000,5,3600,12.69,0.04,3,0.0,0
3RSbNWoS-PQvN,oSLl9WtX-vXyk,deGjUcJG-nmzy,alugado,pessoal,D,25,71004,9,20000,14.09,0.28,2,0.0,0
yDXARqiN-4D04,QoBRUPUt-wNeI,eNbt46Bz-h2p1,alugado,quitar,A,22,67500,2,5000,7.74,0.07,4,0.0,0
JJKjNN3w-Jcfn,wR19lYiR-ij6m,Jn7wWhpq-ef5H,proprio,risco,D,21,10000,6,1600,14.74,0.16,3,0.0,1
bQrR3UP3-e2Uc,E0D0Ht2G-8Qf0,8rIwvCoH-Jv81,alugado,ensino,C,31,24600,5,2000,13.61,0.08,5,1.0,0
rkLzPkQZ-J8OM,ONzoD9hD-dr1Z,ODsN8OFK-Np3O,financiado,reforma,B,26,88200,9,3000,10.59,0.03,4,0.0,0
snl9Tcw5-vkzP,Pujnaq2p-YEpn,rlkBxxWf-JT3I,financiado,saude,E,22,42500,6,7000,15.57,0.16,4,1.0,1
D79ngmPp-HUgX,W7JIl6qZ-CIlT,MvrUphj0-i6LX,alugado,risco,B,24,65000,0,7000,11.83,0.11,3,0.0,0
NTPcy05E-C4Nl,SA8HI0BG-Nvwg,S6SLG8Od-mc9D,alugado,quitar,D,39,96500,4,14400,15.2,0.15,11,0.0,1
w9Ut4BL0-GnGe,9YZIHe6Q-2HfB,pzjlc3x5-Blz9,alugado,pessoal,B,29,80000,3,21000,10.99,0.26,6,0.0,0
f77nO7Cm-PxPo,7lSXPr1k-nhdZ,YvyZI7e9-h8lp,financiado,saude,C,31,135000,12,15000,13.85,0.11,10,0.0,0
fvvbjQbn-tlkr,HCK0HpB5-iIXU,eG4OCGPZ-IqNS,proprio,pessoal,A,25,70000,4,4000,7.42,0.06,2,0.0,0
B9AE68Ak-SlzW,uCyrKiII-DMLy,Q5giblXQ-sEas,alugado,saude,A,35,30000,0,6475,5.42,0.22,6,0.0,0
DGD7xYdp-LC12,QUFTEOeu-IyoU,ckMLGAtA-w9SF,alugado,quitar,B,25,51000,1,2700,9.7,0.05,2,0.0,0
gdtm89FR-PU3P,uPyAEuZ4-vuGy,oULnMbQ3-BMWe,financiado,saude,D,28,34000,12,3500,15.58,0.1,6,0.0,1
8f87NNNP-eBw4,T5WBhBp8-k9gT,S6d4jtrS-p4Ho,proprio,risco,B,22,27000,3,10800,10.74,0.4,3,0.0,0
rv0KOWFQ-82rq,zMyfDSYO-1EMJ,D8oThnET-Plwl,alugado,pessoal,B,23,33000,0,7800,10.95,0.24,2,0.0,1
aAaaQZq3-QDpF,BmIbjZ6N-OtmD,ZbH7Qvtt-nGYa,financiado,quitar,A,29,108000,13,3500,6.76,0.03,5,0.0,0
zxCGhTWQ-EDdT,Ehly48Wj-Ban7,H8yjj337-3PMq,alugado,risco,A,41,55000,3,1500,5.99,0.03,15,0.0,0
yv1XZug2-ctKO,ehPzoqDF-FThS,lOvR5UHf-Wsur,alugado,pessoal,C,24,40000,6,2500,15.27,0.06,3,0.0,0
hHoyQbth-N61L,CHz6kSxh-frE1,uZeanEJQ-q5l4,alugado,pessoal,B,30,38400,2,9800,11.48,0.26,5,0.0,0
GlHIxtWn-OgRu,NHiWr3Qq-IWoA,MMdQ7Fmx-IobB,alugado,pessoal,B,27,39000,1,4000,10.74,0.1,9,0.0,0
gpGOq45F-1qN3,IfIRRxRv-1KZZ,EpLeJbC1-LmYl,alugado,saude,C,27,30000,0,4500,14.65,0.15,9,0.0,0
rkz3mGtH-E37r,4bzaGDpM-tSy5,tyGlDC8m-6zPG,alugado,pessoal,A,25,43000,6,5000,7.51,0.12,3,0.0,0
