cb_id,cb_person_default_on_file,cb_person_cred_hist_length,person_id,loan_id,cb_id
aYyPXJ0b-W9Qy,N,4,2GUFa9Kw-oCGZ,2hkSQ3SQ-IlJx,aYyPXJ0b-W9Qy
G1adHNwa-W5rb,N,10,sZUNuwZW-0rkW,kHXHd7uP-qx8p,G1adHNwa-W5rb
LmjpqsuY-zifU,N,2,dhYie7hs-k2DX,kBFidS6i-PbNr,LmjpqsuY-zifU
6esI22DW-5FOy,Y,2,uatAYfDa-vD2O,OyXZ6yrj-bahx,6esI22DW-5FOy
Z4vv5Yzn-CpZ0,N,2,ZnoNEu0o-0rLo,pIWSsW7x-oedh,Z4vv5Yzn-CpZ0
Lza2472j-eGf9,N,4,JPuHshMH-GPYk,Tlshryxp-i5ND,Lza2472j-eGf9
zbaRKb3F-4AnE,N,2,5fJMS6P5-rUYz,OU3veo5g-mziX,zbaRKb3F-4AnE
wuFJEKHe-QgMy,N,4,yg6cb9T3-0WmM,p5GPqHxG-ZEJA,wuFJEKHe-QgMy
oZrgPOtE-MnSa,N,3,tYSkFXLO-GK5S,lK6NXmPC-6wry,oZrgPOtE-MnSa
BiChTKjX-pnaR,N,6,S7mfWJkn-Mq2r,8Y0fIQLb-WrPK,BiChTKjX-pnaR
WDA4yhZ4-giZM,N,9,sIhBUyUD-OZ8R,FxwcjBAa-qFAG,WDA4yhZ4-giZM
KHWGsY1e-0LyH,N,4,bwlHcBU8-jKm3,v6WqlxIE-1Oi3,KHWGsY1e-0LyH
AY55mLPv-XUuZ,N,3,UDNED31r-Yqam,Fa20k898-kGDv,AY55mLPv-XUuZ
P93D24Ct-KjsT,N,2,U0nP7FCd-eCBv,gOKJG3jU-8nr4,P93D24Ct-KjsT
lR7SJw4b-TkQy,,5,hNizykOp-l7xl,QSiX4kEQ-HqAY,lR7SJw4b-TkQy
YDcy40MJ-Ar2e,N,9,zD858v5c-UCe9,cglhtnGU-LErZ,YDcy40MJ-Ar2e
k4sM8Jo5-FN1c,N,13,ULkMi0Dd-FHUs,D94xw3EA-6nxn,k4sM8Jo5-FN1c
Rr2YFTK4-W7Ma,N,11,SITYwuum-4zTy,q9lNg24r-yaYf,Rr2YFTK4-W7Ma
PlBBxWSp-kQL2,N,3,9gveRoF5-CM6H,GuDAoiwR-OSvr,PlBBxWSp-kQL2
Ba8PRGst-atGD,N,8,lUGSF8Tj-5BxZ,snJWsE3U-xNC8,Ba8PRGst-atGD
rX55yjAi-OqYb,N,4,r8gtn9t9-mHAm,ZrsL8w9Z-HKC6,rX55yjAi-OqYb
yFHSfYQR-0BXN,N,8,b8aDuFDK-rf05,nIJDsKRA-JHNi,yFHSfYQR-0BXN
m0irAyyX-XUuZ,N,4,4DGaHYeZ-0nEI,CF6JEia3-JgDG,m0irAyyX-XUuZ
gDhUxx87-tXX3,N,4,43xrbgT2-irBm,j7IC5KiB-Zf8c,gDhUxx87-tXX3
o0dJTk3w-6WzR,Y,2,rNayD1WP-AOas,jgMChu6B-hhQX,o0dJTk3w-6WzR
2u346UE7-6ryr,N,26,DPxYM55y-FcCU,mo0Oz4l8-phqw,2u346UE7-6ryr
djvWYeU4-XdhD,N,6,nddZJOue-Ngly,kOTyheSl-DQgt,djvWYeU4-XdhD
QPDJUQfQ-DJqK,N,4,MZSefq9m-loYS,Mfn0Csx4-LGM3,QPDJUQfQ-DJqK
GYSWudMa-8chd,N,9,AXWIZeK2-C28P,3g1lsWly-LiYR,GYSWudMa-8chd
5u60PuTg-xYhU,N,5,NpAxUIZr-6PCU,lbrUMgQH-6QPU,5u60PuTg-xYhU
1ayJPI4c-Y90m,N,7,GdDgQQhb-7QRB,XkTl6Jcw-njTm,1ayJPI4c-Y90m
gtummqgE-I6Ru,N,2,mPtHR445-5Kri,hWgMlq74-OoUh,gtummqgE-I6Ru
YW6alfuR-PyoJ,Y,7,HkIcCbuI-Mse4,KCUmdK79-EahS,YW6alfuR-PyoJ
nCR9w7jZ-73qZ,N,2,6GmA91UN-eqQ8,IsdSrLLx-Hjdv,nCR9w7jZ-73qZ
MyJcdiUu-QkH4,N,2,tTrG996g-yIA9,RoqLKyQX-hqjH,MyJcdiUu-QkH4
3C40Sifg-ALzY,N,4,W3yfoyzJ-i77E,rZ4UXP1R-0vtn,3C40Sifg-ALzY
17YIbCfN-uI5c,N,4,bqzhYsoX-NYY3,Ibq49ctZ-mFHa,17YIbCfN-uI5c
13rZu0yi-Ghov,N,10,F0LoCesU-xNHi,T6ttQQ0B-YUSs,13rZu0yi-Ghov
Weq6PcmA-qmJ6,N,11,8k0pr9Lq-gz1t,BZFQGNaE-t7iZ,Weq6PcmA-qmJ6
i1uh8KzM-fymW,N,3,Y6ZgfNAh-gEpm,4oTN838P-ZRT7,i1uh8KzM-fymW
MpZlbtnj-v5ZG,N,2,e9ME0tJY-69Jt,9fTIWFIB-K0eM,MpZlbtnj-v5ZG
DzRO04Uz-pQjk,N,2,wWnevDHl-PXXF,Uqlv3cAe-ZvcI,DzRO04Uz-pQjk
SpoJwd9J-5N7u,N,2,pQDRJKZF-vEMp,2JRZgX95-SIlI,SpoJwd9J-5N7u
Rk3auctZ-6AHl,Y,9,r5QXlDPl-jfIu,otI1z2pd-Whqd,Rk3auctZ-6AHl
XHX0vR63-HBeM,N,7,hoxwmYCK-CWcb,KEIbtO8I-2gfz,XHX0vR63-HBeM
tMptKweQ-xpJh,N,2,5rdd5uh3-Bk2x,bbJvfWud-ypZz,tMptKweQ-xpJh
JHNXyE3y-ykoF,Y,13,vjpH24B8-kkTP,MOtcBFeZ-Grla,JHNXyE3y-ykoF
pjYrBpwq-xHn4,N,3,p0T7WS0M-3EHI,foFNGy6r-cIl9,pjYrBpwq-xHn4
Ztlym970-MnY4,Y,8,nsTljDou-mvdi,5vBOEjBj-mYCq,Ztlym970-MnY4
qv2US4kT-qi8I,,11,dh9PkLw6-LEvS,l1YX8BCB-D8r1,qv2US4kT-qi8I
TJEDr2EU-FR1b,N,7,Lo9hbmzq-QiTt,ECHWWJy5-HbrP,TJEDr2EU-FR1b
x9SH2Lsh-mKFM,N,4,ONgXexPH-FlJF,2B3ADEjJ-ekFz,x9SH2Lsh-mKFM
RroZY7Xk-RM0W,Y,2,NAAt97Ma-F5FJ,RHz1K4t0-fGl3,RroZY7Xk-RM0W
gJCcYUs7-vHms,N,11,aTMCoq55-BiCy,avnuyFOZ-LwUX,gJCcYUs7-vHms
G7zhdbJN-sUCA,N,5,EoQbb0t7-lSCP,1bPeb7mj-hDHN,G7zhdbJN-sUCA
L0ftEy0i-Raoa,N,2,fMs6fjR8-ylAs,ru3oxsDC-jRa2,L0ftEy0i-Raoa
OhpsHtk9-JQbT,Y,6,hRtkacJh-EOzY,FbFfnlKn-bmFj,OhpsHtk9-JQbT
aZSczE1C-3liv,Y,10,3LxWXfry-xHtH,TOULNC0t-TSPd,aZSczE1C-3liv
PNbelwT3-MNRj,N,6,zYntcIcw-Szla,oy1zASvo-Fq9c,PNbelwT3-MNRj
Ti4xNUYu-pYve,N,5,sCdh4973-ejmQ,CxYpgGh6-KKrF,Ti4xNUYu-pYve
I7KJr01J-5OMF,N,4,F50d5Bth-7gq5,RJxyllJf-ycv1,I7KJr01J-5OMF
0OQNB93J-8qlT,N,5,b2DrFBol-XW9e,fGOdZWHU-Oqib,0OQNB93J-8qlT
5r4AZEdq-sS6c,N,2,peAIbilZ-NgAD,vdEH6dQK-svzs,5r4AZEdq-sS6c
DmY7GDNP-hr2h,N,7,UXoOKh8a-aYmf,JywwFeJM-AY5v,DmY7GDNP-hr2h
m9T8XAYE-U76y,Y,3,iFyyKflq-T57a,6Kz0vT8X-HCaI,m9T8XAYE-U76y
qqJfiZNe-vE2C,N,9,siaUDkoL-NPag,N4psyZaD-TY0i,qqJfiZNe-vE2C
9SXwdUC7-D0Sl,N,16,GL4hbqKs-aIMm,7cLq6P9y-KwK4,9SXwdUC7-D0Sl
KuyGKU2e-rs6Q,Y,8,30s4Y2Dh-hCo2,KDWuecCQ-7QTR,KuyGKU2e-rs6Q
tOPHXxkQ-JGC9,Y,15,ED2MTjhM-Cdnp,K1yd7Mqg-frKN,tOPHXxkQ-JGC9
p1y8WRQd-aTwM,N,6,us8hsCPo-iBu2,sxWw2ft1-hxIU,p1y8WRQd-aTwM
fBLCSwbz-aWOK,N,6,BNjyL0RM-gx3w,eBdP60xh-rrfG,fBLCSwbz-aWOK
e6wOMThp-g82m,N,3,5QDc4R3f-o64m,Wn5c3orS-eSsL,e6wOMThp-g82m
3Qr6Sxv1-rG97,N,7,4fqKD49g-EnlT,19BqPfko-UhfZ,3Qr6Sxv1-rG97
h3hHnGRf-vfmq,N,2,IB04dtCi-l2lb,1aj2HoLq-1ZAr,h3hHnGRf-vfmq
Z4mIO7Cm-NGhH,N,6,9HOh8czu-E15e,eNlIKyHc-aNS6,Z4mIO7Cm-NGhH
z4Y1EmhR-JW1n,N,3,td5aTLfg-fOJA,NBm5PC8M-Sa62,z4Y1EmhR-JW1n
F3kUSlJM-CbeZ,N,4,qI38NMrm-IuHI,8A8fQinN-Srb7,F3kUSlJM-CbeZ
YndQveQd-Jqmb,N,7,DsFJYKSZ-QsYk,kn2XtEia-uwAC,YndQveQd-Jqmb
Obr6nEoQ-CFGW,Y,2,jlTq7OEa-R9zJ,gGAk7HFn-tP7B,Obr6nEoQ-CFGW
pugNE4MZ-6AD3,N,10,XyRU2S7c-LRbC,frPE4Aiu-cBe7,pugNE4MZ-6AD3
Arvsjrs0-nB3y,Y,24,XtFSI7aE-H3BR,GZFW97bw-I7dk,Arvsjrs0-nB3y
Zg4kmTIP-Pres,N,7,QUibYjdI-lqEN,ITxlskoG-FFzb,Zg4kmTIP-Pres
6rHQ0a3Y-6jDn,N,14,OszY7vsP-cYyv,zXgHJN2m-rcA9,6rHQ0a3Y-6jDn
KwzzbxWO-LO87,N,4,92O3vk5r-IPRp,gU7MI3nw-qNhB,KwzzbxWO-LO87
UcS8v3Q7-PfYf,N,3,F1Ghslzz-dMTG,4thWHiLY-ek0t,UcS8v3Q7-PfYf
M4ccNMod-UNmj,N,2,WQ9Wr3r0-Nbr7,ZhT62LNI-TGSN,M4ccNMod-UNmj
6QfQaBW1-p8kH,N,2,nyk4I3gE-WKO1,9Ds1NDAs-ilDd,6QfQaBW1-p8kH
GpYlXghu-phNk,N,15,yHkLo8O9-Pmet,4Pun9sM0-NSdA,GpYlXghu-phNk
dBchjssk-sHbf,N,2,sr3oJJ9J-i3KE,2k7rn9XE-wEw6,dBchjssk-sHbf
vpIHQyP3-UrI8,N,10,Q3doMAlY-vCaQ,C597lFKJ-oNKS,vpIHQyP3-UrI8
xvaoWhPg-NobU,N,4,L2ED40Pu-tqWn,G070Tsjs-kTrB,xvaoWhPg-NobU
ZI4lXd5Q-hsnY,,9,LZUg5Ezk-g0JW,ov7ONKKf-GatJ,ZI4lXd5Q-hsnY
9rqzNHb4-p18b,Y,14,hQPfhXmD-pNCd,wx8X1o1D-3Ica,9rqzNHb4-p18b
fJT9TZp1-cd3e,N,3,qi5D6Pk9-G5tu,aampZHW2-ocZj,fJT9TZp1-cd3e
CG2SzTjU-bMeB,N,2,2fJ1xZJb-offU,WD5MtdgB-8fFQ,CG2SzTjU-bMeB
JlOD8myO-Bdhz,N,2,PRqjdn84-NNDk,TORe9G0D-DTla,JlOD8myO-Bdhz
Tq2RIhLB-YTmu,N,6,yzvCCsez-y7Q5,RoSAFM7B-RKrn,Tq2RIhLB-YTmu
DTlCqFbz-6oPN,N,10,RybqIcEf-L8q3,xzPoI8lw-0ZO1,DTlCqFbz-6oPN
9MX3jpeX-FNdL,N,4,nf2cYR8g-MgSp,gp7W8s0h-4AkX,9MX3jpeX-FNdL
v0BaIqrq-yjOK,N,3,0gXaKyOO-ckdF,pGs5ySOL-WFIp,v0BaIqrq-yjOK
itiG08sr-KJxB,N,2,Zam1iyMZ-7YdN,7xfNU84k-Z5BK,itiG08sr-KJxB
hOXBYMJH-2aG7,Y,15,wmk47lNm-iybn,vh4UwS3K-kkJx,hOXBYMJH-2aG7
NORkcfFu-6FXS,N,3,OhJ3J4fc-qiJ4,HUqJJlo1-Gfk4,NORkcfFu-6FXS
4swDrNcT-e4Z2,N,3,YgB7Y3mF-s6G8,IXXRUUPp-HThw,4swDrNcT-e4Z2
Onc3bs47-EDgl,Y,4,3Zk1IoFs-MDF6,kQHkjnBq-76YU,Onc3bs47-EDgl
7oyfdKXU-bT1G,N,3,gJwJkNtE-si4d,kFkvDgAd-m5TQ,7oyfdKXU-bT1G
ruE6hY66-Ufb6,N,3,fLwL31X9-b09l,bSgfXl4P-yxB5,ruE6hY66-Ufb6
XwDMiSKb-lb6i,Y,3,MCavxtrR-MvH9,pJSAGhtZ-DelG,XwDMiSKb-lb6i
pJ3KrsRp-FXda,Y,5,Gnpkuja7-XkJm,D3O7DmqW-iJMx,pJ3KrsRp-FXda
F0HKPUm8-RtrW,Y,4,LhK45Qdz-CZZl,07BWcAZh-AwmZ,F0HKPUm8-RtrW
8J9IGXTn-EguF,N,9,mt9FbU9Y-vdfk,a78If8dc-JsxC,8J9IGXTn-EguF
k4abUXB2-inXr,,4,hU9cxsFh-mEO8,oieyXa92-rPQE,k4abUXB2-inXr
o6reLyuP-3pL0,N,2,o6jFM9di-eFwZ,ISfuyXle-jbxS,o6reLyuP-3pL0
QOs0YCpQ-ZvyM,N,6,bJfL7Ohr-5yZ8,9AeYJcaF-vn5j,QOs0YCpQ-ZvyM
ucQH7loD-C8C0,N,5,gBGhZQCP-fvPe,yskrCuGZ-eQ27,ucQH7loD-C8C0
6vKd1dNk-jO7b,N,2,g7SYRjFA-znWo,PXaf83Lx-Z7rE,6vKd1dNk-jO7b
xY5jaleT-kQdu,Y,4,KUYD1clb-3GDI,7oKo3r1i-67FQ,xY5jaleT-kQdu
zABKPmkO-ls2k,N,2,UZtAYHzP-HWIn,ewWSJswY-YsGR,zABKPmkO-ls2k
JhJKpSZm-vE2v,N,2,2YlOM1b3-YIkJ,FD8tLF5K-PBsh,JhJKpSZm-vE2v
ENCLuwui-jkvz,N,3,wSHOaz08-eKX6,CRi1o0yF-3urZ,ENCLuwui-jkvz
3E00oE0z-5ZJB,Y,3,LQ0yHGCj-t6Dm,Wv0EIpKm-vSbv,3E00oE0z-5ZJB
mctWCdi7-h0Ie,N,11,2PGiqapk-bHPK,KiiaPXGK-I2bJ,mctWCdi7-h0Ie
EcSuirUA-q8cO,N,6,0spEgKqm-l3s4,QhJfSynu-dQTo,EcSuirUA-q8cO
BCGt8mwj-SuIj,N,3,lrpW7G36-PcOf,IRXE81ds-QXiL,BCGt8mwj-SuIj
SpFu9n5q-nXka,N,4,SFQ4hYkm-GYou,TAhdM8I6-QF24,SpFu9n5q-nXka
FR83fUcl-Ehfi,N,9,tMeEcsh5-IOuv,pZUBhxDU-t5QE,FR83fUcl-Ehfi
vSQfz5Ew-vBzw,N,6,va7OkohC-Tziv,s1WUxoxm-uZDM,vSQfz5Ew-vBzw
9F5lLAcp-Hr4m,N,3,SFDTMRuG-pzkZ,rI1CWiKm-OFHS,9F5lLAcp-Hr4m
48lt539T-2a8C,N,4,cSmQCCOK-ioOR,QTLF74Ht-j9Ju,48lt539T-2a8C
iIFWCoAo-eIJZ,N,13,YRfufEF3-juBQ,d0kI1feq-y5W5,iIFWCoAo-eIJZ
M1AINDZX-yLeo,N,4,MxOipTAE-F3kP,gM0vvA4l-kCFE,M1AINDZX-yLeo
BL6qtvnJ-TIxu,N,7,M4xkGyzH-J7yl,WvuBBa0n-6Iyy,BL6qtvnJ-TIxu
Uh59Dq8X-pXzl,Y,8,oh9Q51ee-3FOG,OXa5BD2l-GeGI,Uh59Dq8X-pXzl
aAojKeYO-GLe9,N,4,eabaLE96-I8fI,zXOX2OGk-8HgP,aAojKeYO-GLe9
jQgECUNL-2K5e,Y,9,jncaQ4xA-2BUT,JPvb5BXL-q5Qm,jQgECUNL-2K5e
IHHm3lwC-f0p6,N,2,PeOItWmQ-bSsg,QEHsF7JS-uQ3F,IHHm3lwC-f0p6
PpX7A7QD-WF3t,Y,9,KalCkOAM-IoAf,JR6XXxaL-ZDuD,PpX7A7QD-WF3t
2YnjNz0f-hJIM,N,17,0AwPRvZO-J1jg,SQzZHBCF-LeoY,2YnjNz0f-hJIM
NMvRbjbc-2qfW,N,15,fyjIH75q-Opz6,sioi5gJg-kz7A,NMvRbjbc-2qfW
garH3Pe1-S0bN,N,8,N6qLj4Gp-FF1o,TvRj4mfA-zNSq,garH3Pe1-S0bN
z0tyFWJQ-eEWY,N,2,9HBLzxdF-NnYW,OpCqlccn-btpL,z0tyFWJQ-eEWY
G5SkxRiQ-817O,Y,2,ntM2TAEy-aSoG,zgYqcg8C-b8HB,G5SkxRiQ-817O
IZPykaHc-x8GL,N,8,A8u528IB-qTxu,oX7467ri-zKFt,IZPykaHc-x8GL
c15JpW7y-kFCI,N,10,YOrNkxgE-H6SY,GjyyCEUs-UXff,c15JpW7y-kFCI
asGomcly-45LK,N,8,DRQkBvwD-UHEP,4Dlfc8RJ-k9Nw,asGomcly-45LK
NuBmz296-P3yf,N,7,GnE4wQaQ-DGbc,cx8ckgpR-mFWf,NuBmz296-P3yf
lNakFRH6-AwrN,N,7,ZxsSBZlk-ulWS,wPUXpIM6-7qQI,lNakFRH6-AwrN
IAC1HhiL-rtBG,N,4,Ikx05jwR-SOu0,OUAP8Tfz-TzvI,IAC1HhiL-rtBG
iX5xYUJ6-1hkR,N,3,M4qj1Ei8-ksPr,pqqadT5Y-wDfU,iX5xYUJ6-1hkR
E7mIFekX-49Ns,N,3,Mi8JrYh4-8IgI,3ZJhCInZ-msQq,E7mIFekX-49Ns
qNza71Yw-x3Up,N,3,vXUMMG82-BAi4,e1xDtpFq-zZpI,qNza71Yw-x3Up
WreUXwJ2-iLqT,Y,14,SIbqmdlL-t6IF,FkyQ2p0o-dFB3,WreUXwJ2-iLqT
mArRvvNa-cEgl,N,2,zTn1j1aZ-SMwY,TkKZ9tfH-63ya,mArRvvNa-cEgl
7hgHU3an-zPZd,N,13,zivttnOy-kv9A,boG9fi69-Uqoy,7hgHU3an-zPZd
H5uMTSKK-ChzA,N,4,G1pWB5Bq-mkFg,Y5rt4Pf1-RptN,H5uMTSKK-ChzA
5ZeEMsKC-YoK4,N,4,Mt6Dzjvq-cJWa,NOmJYIHF-WdJP,5ZeEMsKC-YoK4
H25i9a6M-Fs6k,N,6,HDdJccuS-rQmE,FeCgSvYn-ovmJ,H25i9a6M-Fs6k
syma6Oqp-dCya,N,5,xcnIw91L-yPtC,s1OC4rGZ-FNb6,syma6Oqp-dCya
E6zNrbyY-qIOm,N,4,lc1cxw24-51Ol,Yue7mQSj-tFJZ,E6zNrbyY-qIOm
YrpSRAWW-wKy9,N,3,s7pyJBwl-5piE,Widj4IOW-PoY5,YrpSRAWW-wKy9
EOqBAdzj-ejfJ,N,4,Zn1CseMn-zjW1,EHZvCUpm-x9Um,EOqBAdzj-ejfJ
9K2n4BPU-Wj7u,N,13,pl6QXGHE-SBhi,wALBmOeZ-zrte,9K2n4BPU-Wj7u
EtnCMmKp-I0ou,N,2,rS1qrakl-nHQ7,koFmCAfD-34gy,EtnCMmKp-I0ou
QU18nYMs-hd6I,N,27,HWccdzPG-RhFz,Whs0h9KE-0t3r,QU18nYMs-hd6I
FyB0j25A-JDCE,N,4,G9Lwhu2H-IDJw,80w8zIZh-djHL,FyB0j25A-JDCE
bojXmzp0-7woD,Y,4,jYUHSffh-YBTl,zSB4jK3m-FBI7,bojXmzp0-7woD
fqYQuO2p-FB60,N,3,FmwjqMWP-zmuy,jxS64doh-Hetf,fqYQuO2p-FB60
WApNTEbA-j2Dt,N,2,Cgiz5JTc-oCDD,nxD2vNix-P4Pm,WApNTEbA-j2Dt
6LvjFRZ5-aN2G,N,8,6g2uY2sF-rv5Q,0kygwQTT-ro2Y,6LvjFRZ5-aN2G
dbXgqTMS-4NSc,Y,12,Av0IT3iL-S1hH,JIKMsJ13-GJSi,dbXgqTMS-4NSc
vQWiTDMv-aiab,N,6,k6pTNy3w-qzGR,jDQiQ6bI-rIuy,vQWiTDMv-aiab
ZteA93LX-ZKtj,N,5,Xv0bwI7M-Qecz,aLMIRqy1-3O8q,ZteA93LX-ZKtj
nnS6oLBa-rvm9,N,2,PlBvaoG4-mKlh,7RCJQmpS-iTLa,nnS6oLBa-rvm9
NNIeuLpY-QOyg,N,4,TUMyLwh0-MhJL,noqh8ReW-0D2r,NNIeuLpY-QOyg
sve6Mr9I-tFfz,N,3,9vje8AYM-XHYW,4XSsQyME-Jvdd,sve6Mr9I-tFfz
HTfEMoRq-e0di,N,4,IlfJHwkj-dlfN,34ivH6NF-gT6x,HTfEMoRq-e0di
WJmfKnih-JFnD,N,5,ix3HLZKM-qfkP,0yCM4S5u-bGpp,WJmfKnih-JFnD
Ih5QoxUl-HCLh,N,6,Zkguxfz3-wUGs,KsiIls7t-ff0M,Ih5QoxUl-HCLh
gAIRBila-PM3l,N,4,DpZ5MDlj-0PP0,15U8l73b-iEdO,gAIRBila-PM3l
uBTFHi7c-ZWes,N,4,1HTFGRZY-4mTp,JxrzT2BW-OAqw,uBTFHi7c-ZWes
7LHYajok-EoKs,Y,5,NaeOiIwY-U2Td,LAIXcRkP-CDx3,7LHYajok-EoKs
gJ7C5t1B-ib0B,Y,8,Flyxv67N-gwB3,dn9Z2Hhb-D1iO,gJ7C5t1B-ib0B
aKWY6clX-gdsN,N,3,evgAsF3O-Q46W,rizxYyR3-akyr,aKWY6clX-gdsN
hOzqoCJ9-Xkxx,N,3,UM9lfwkk-L1sg,6WwyPGGI-iZeH,hOzqoCJ9-Xkxx
h0IP4YRa-ZvLv,Y,6,o9sFmHkM-T20n,MfM5t0WA-W5sc,h0IP4YRa-ZvLv
O6FNhK0Z-3uK9,N,2,Hl3MFQEt-I1Ki,WmwGCL62-wElg,O6FNhK0Z-3uK9
MA3RBurQ-k3lD,Y,6,QZrR9ALv-54Kl,oGaGFgbA-x0ty,MA3RBurQ-k3lD
e5o1LuFT-WDPO,N,9,1ALpTMUB-1PDz,mAoKnRaG-ou0g,e5o1LuFT-WDPO
ce3b1ll4-doiD,N,9,Xyam4CIA-CrFe,yAea7svq-svfI,ce3b1ll4-doiD
Gaqirmj3-nuHo,N,2,1B9GtSOX-Roj7,jGJyXBdS-LEIi,Gaqirmj3-nuHo
KeJJ0nKg-q3zA,N,6,dCivPvSn-9PbI,QJrkyElq-JEzZ,KeJJ0nKg-q3zA
DQIZhwNk-unoa,N,4,fsXiXw35-cX5E,ZUbyf9Qs-M18z,DQIZhwNk-unoa
38IkAFkg-Pg33,N,6,wO08SlYA-oaT3,xIJmcLRO-gJjt,38IkAFkg-Pg33
inq4GkBo-RevJ,N,5,JLAq8dlx-tu7t,AvrwUxDi-ooLm,inq4GkBo-RevJ
sLGulbdP-UWbs,N,4,sbgD8YYz-InAm,LjMstY2m-zAJE,sLGulbdP-UWbs
HX1QO8HM-NIXq,N,8,tFMiNmqD-7n8m,sBAtAbCh-mlrF,HX1QO8HM-NIXq
GgjZqA5L-RLE7,N,3,EZKQ1RYk-to05,nrz12ycb-71nG,GgjZqA5L-RLE7
X13FXCKA-3DWo,N,7,sAliLvQN-rrZc,Uh64Hahm-IpQd,X13FXCKA-3DWo
H8ce5Ohh-ayqX,N,7,dRzH8lJ5-U3ez,g9eZXNpQ-6xio,H8ce5Ohh-ayqX
KgfBUl54-4M75,N,2,MJv0GJ8Y-65i6,dXMAa21X-7y7l,KgfBUl54-4M75
qJ2bPDry-MWh1,N,15,Dre24rlk-pkXG,uhzzSJDR-qflN,qJ2bPDry-MWh1
nkmntrjZ-Eqcy,N,8,Q90GxivF-4CCI,u1ITbITv-nCYD,nkmntrjZ-Eqcy
elc7rSqd-xGEt,N,9,nvtlxtJO-bTfc,04I4PSrD-ZoaO,elc7rSqd-xGEt
nXgfW7LO-jpuK,N,4,7dBZdhCE-h8p6,DyCfcRiz-0s1F,nXgfW7LO-jpuK
Pjdk3rPT-3o1B,N,9,fBvkExeo-xmxs,0KCzfJSR-uww5,Pjdk3rPT-3o1B
jt5nKRY7-rcB5,N,9,KYUyvhCo-rahX,JmKxi4C8-OIbG,jt5nKRY7-rcB5
MS5Y53GD-opQC,N,3,AHmstrcj-a3sc,6po9H24M-Dyyb,MS5Y53GD-opQC
vTQcZsXq-IRZM,N,6,8XM8tB8g-SfkQ,7QarOirR-pppg,vTQcZsXq-IRZM
BoCZiFpk-OXaJ,N,17,o106NJlW-03ld,7Ddc2LzG-NU3x,BoCZiFpk-OXaJ
hg0X557p-tHJZ,N,2,piczfiLk-B4dv,ijS2Kc62-eEyZ,hg0X557p-tHJZ
gObjiAkd-7uh7,N,4,JYwzUCRW-5cTG,N5Z2X90U-6ABy,gObjiAkd-7uh7
gUdEo94J-YZHG,N,15,KWciQq69-jGYX,J9RxP6Pu-cn4N,gUdEo94J-YZHG
ao6rSmEO-1PKX,N,7,UQCN6UfX-rBpw,CMUvWsKS-Ns0y,ao6rSmEO-1PKX
O4Lhrsu2-4FwM,N,3,nRS5dKgj-hA4a,BRLYeNcR-O30F,O4Lhrsu2-4FwM
uOqK9td7-y2TX,N,7,j0hkaZAi-WJpB,34UCigpM-LcHm,uOqK9td7-y2TX
KAGoK0PX-fy0t,N,8,zPem3ped-1BJr,nayUgMfT-6iou,KAGoK0PX-fy0t
alHB7Yzz-UvDK,N,3,TLaWn3sg-Gp5d,HPxrM9lL-3dKt,alHB7Yzz-UvDK
54BjPciD-CAiR,N,5,eNDdYiw5-wgXE,aRTc7q26-ugXe,54BjPciD-CAiR
w1qH0w07-3vIH,N,3,X1aLUie5-1IIJ,qN3brrQL-FqQb,w1qH0w07-3vIH
KdZcQlQB-o3en,Y,10,xv7DIa0z-KDeO,2AYNId0j-A9xa,KdZcQlQB-o3en
LtUDFeiM-iv6A,N,3,2N5Deky7-LZkd,ROfCyINn-IUPi,LtUDFeiM-iv6A
B6KuRaWq-2ybn,Y,10,sAADxuuD-Y97w,fudpj6X7-xgKE,B6KuRaWq-2ybn
ACiom1nH-NO0s,N,4,vSlfQXeZ-MdKP,FdJqX4NN-c4rg,ACiom1nH-NO0s
9ExOlAPU-ZH0L,N,3,Zimy7zeg-zNJJ,rqsFcbCh-9QTv,9ExOlAPU-ZH0L
qUwuENvb-d6OC,N,2,AYU0LCx0-ptNC,fwvKEIA0-FwaK,qUwuENvb-d6OC
PzTnEQZ7-AM5r,N,7,GCx5OiQx-7FdH,kRUD3ScE-Q7gU,PzTnEQZ7-AM5r
4Q8lwcyY-Ug2n,N,10,8dlnbOs5-X91q,r0gOJdBa-UQ3l,4Q8lwcyY-Ug2n
jp7AtpTR-P0vZ,N,2,nNgAp9Fh-agOL,7wZUfLLH-vZNn,jp7AtpTR-P0vZ
yIAbgb5B-Mtmx,N,2,UFPM6nEO-9Nio,YBGZjkvs-2ClA,yIAbgb5B-Mtmx
BcPcoUPu-Bi77,N,2,YnZHxgEw-aF66,aFx63BrJ-k5F3,BcPcoUPu-Bi77
IHizOYWZ-ZrC2,N,12,yd9Y5ql2-UN8S,GMM67Jso-KIbb,IHizOYWZ-ZrC2
yUKdfi1n-idK9,Y,10,775GhBpP-eTKk,kZRNzA3J-8cUj,yUKdfi1n-idK9
3kXp38hT-aIrH,Y,7,bkDJAYB9-hBtS,L8doEqSe-ADQz,3kXp38hT-aIrH
SGYt6Bzg-X7jg,N,2,urN4ynD0-Bs9p,0dKWsUaC-56uh,SGYt6Bzg-X7jg
QW1eo5AR-x1ZX,N,2,JNWDn31d-TYhk,quZiX69o-XeJ9,QW1eo5AR-x1ZX
